GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs7523969	1	 47984143	rs12118339	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p33	NR	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		20130	31725	rs12118339-?	rs12118339	0	12118339	intergenic_variant	1	NR	6E-9	8.22184874961636	(left parahippocampal)	NA		NR [9227495] (imputed)	N
2	rs10181727	2	 27128529	rs509047	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Subcortical volume (MOSTest)	26,502 European ancestry individuals	NA	2p23.3	NR	DPYSL5			ENSG00000157851	NA	NA	rs509047-?	rs509047	0	509047	intron_variant	0		5E-9	8.30102999566398		NA		NR [7428630] (imputed)	N
2	rs10181727	2	 27137671	rs12612619	2017-05-23	28203683	Heit JA	2017-02-16	Thromb Haemost	www.ncbi.nlm.nih.gov/pubmed/28203683	Identification of unique venous thromboembolism-susceptibility variants in African-Americans.	Venous thromboembolism adjusted for sickle cell variant rs77121243-T	393 African American cases, 4,941 African American controls.	NR	2p23.3	DPYSL5	DPYSL5			ENSG00000157851	NA	NA	rs12612619-T	rs12612619	0	12612619	intron_variant	0	0.3465	3E-6	5.52287874528034		1.462	[1.245-1.715]	Affymetrix, Illumina [14074516] (imputed)	N
2	rs10181727	2	 27166822	rs6707735	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Cognitive performance (MTAG)	402,382 European ancestry individuals	NA	2p23.3	Intergenic	DPYSL5			ENSG00000157851	NA	NA	rs6707735-T	rs6707735	0	6707735	intron_variant	0	0.3914	4E-8	7.39794000867204	(MTAG)	0.0129	[0.0084-0.0174] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
2	rs10181727	2	 27169842	rs11126784	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Brain morphology (MOSTest)	26,502 European ancestry individuals	NA	2p23.3	KCNK3, SLC35F6, CENPA, DPYSL5, MAPRE3, TMEM214, AGBL5, OST4, EMILIN1, KHK, CGREF1, ABHD1, PREB, C2orf53, TCF23	DPYSL5			ENSG00000157851	NA	NA	rs11126784-?	rs11126784	0	11126784	synonymous_variant	0		1E-16	16		NA		NR [7428630] (imputed)	N
2	rs10181727	2	 27213937	rs6705514	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability (MTAG)	670,471 European ancestry individuals	NA	2p23.3	Intergenic	MAPRE3, MAPRE3-AS1			ENSG00000084764, ENSG00000205500	NA	NA	rs6705514-T	rs6705514	0	6705514	intron_variant	0	0.4036	2E-9	8.69897000433602	(MTAG)	0.011	[0.0075-0.0145] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
2	rs10181727	2	 27229079	rs12997235	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken (MTAG)	811,539 European ancestry individuals	NA	2p23.3	Intergenic	MAPRE3, MAPRE3-AS1			ENSG00000084764, ENSG00000205500	NA	NA	rs12997235-A	rs12997235	0	12997235	intron_variant	0	0.6094	8E-10	9.09691001300806	(MTAG)	0.0104	[0.0071-0.0137] unit decrease	Affymetrix, Illumina [7100000] (imputed)	N
2	rs10181727	2	 27247832	rs11678188	2020-09-18	32888494	Vuckovic D	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Neutrophil percentage of white cells	408,112 British individuals	NA	2p23.3	MAPRE3	MAPRE3			ENSG00000084764	NA	NA	rs11678188-C	rs11678188	0	11678188	intron_variant	0	0.630671	1E-17	17		0.01962926	[0.015-0.024] unit decrease	Affymetrix [93095623] (imputed)	N
2	rs4665372	2	 27291661	rs7575465	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Cortical surface area (MOSTest)	26,502 European ancestry individuals	NA	2p23.3	WLS	AGBL5			ENSG00000084693	NA	NA	rs7575465-?	rs7575465	0	7575465	intron_variant	0		6E-9	8.22184874961636		NA		NR [7428630] (imputed)	N
2	rs10181727	2	 27295885	rs4665943	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	White blood cell count	approximately 444,000 European ancestry individuals	NA	2p23.3		OST4 - EMILIN1	ENSG00000228474	ENSG00000138080		1363	5598	rs4665943-?	rs4665943	0	4665943	regulatory_region_variant	1	NR	3E-8	7.52287874528034		NA		NR [~ 8900000] (imputed)	N
