GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000186092	1	19091	120008	30	6	35986	1.4256	0.076997	OR4F5
ENSG00000235249	1	317640	418634	1	1	35986	0.42075	0.33697	OR4F29
ENSG00000185097	1	571059	672053	9	4	35986	0.8098	0.20903	OR4F16
ENSG00000187634	1	810260	929955	391	43	35986	0.72183	0.2352	SAMD11
ENSG00000188976	1	829584	944689	426	46	35986	0.81997	0.20612	NOC2L
ENSG00000187961	1	845967	951095	381	39	35986	0.63678	0.26214	KLHL17
ENSG00000187583	1	851877	961245	394	42	35986	0.91748	0.17945	PLEKHN1
ENSG00000187642	1	860579	967497	385	41	35986	0.94376	0.17265	C1orf170
ENSG00000188290	1	884342	985552	357	31	35986	0.97026	0.16596	HES4
ENSG00000187608	1	898803	999920	344	27	35986	1.3081	0.09542	ISG15
ENSG00000188157	1	905503	1041496	449	35	35986	1.6682	0.047635	AGRN
ENSG00000237330	1	956346	1059687	354	28	35986	1.8102	0.035135	RNF223
ENSG00000131591	1	967198	1101741	498	38	35986	0.99392	0.16013	C1orf159
ENSG00000162571	1	1059264	1183315	589	44	35986	-1.8601	0.96857	TTLL10
ENSG00000186891	1	1088888	1192071	498	38	35986	-1.4725	0.92955	TNFRSF18
ENSG00000186827	1	1096706	1199518	476	34	35986	-1.367	0.91418	TNFRSF4
ENSG00000078808	1	1102288	1217411	520	29	35986	-1.359	0.91292	SDF4
ENSG00000176022	1	1117629	1220421	453	27	35986	-1.223	0.88933	B3GALT6
ENSG00000184163	1	1127826	1232102	424	26	35986	-0.9205	0.82134	FAM132A
ENSG00000160087	1	1139289	1259265	438	29	35986	-0.64492	0.74051	UBE2J2
ENSG00000162572	1	1165816	1277409	358	28	35986	-0.3393	0.63281	SCNN1D
ENSG00000131584	1	1177756	1294989	359	26	35986	-0.24295	0.59598	ACAP3
ENSG00000169972	1	1193947	1297057	304	21	35986	-0.24546	0.59695	PUSL1
ENSG00000127054	1	1196965	1310071	395	24	35986	0.068066	0.47287	CPSF3L
ENSG00000224051	1	1210136	1314277	389	26	35986	0.096528	0.46155	GLTPD1
ENSG00000169962	1	1216694	1320686	378	23	35986	0.16346	0.43508	TAS1R3
ENSG00000107404	1	1220656	1334730	388	22	35986	0.19803	0.42151	DVL1
ENSG00000162576	1	1238069	1347157	366	19	35986	0.20777	0.41771	MXRA8
ENSG00000175756	1	1259110	1360875	378	18	35986	0.23992	0.4052	AURKAIP1
ENSG00000221978	1	1271091	1384708	400	21	35986	0.14729	0.44145	CCNL2
ENSG00000224870	1	1284902	1387426	366	20	35986	0.1836	0.42716	RP4-758J18.2
ENSG00000242485	1	1287288	1392693	386	22	35986	0.22664	0.41035	MRPL20
ENSG00000235098	1	1303800	1407149	320	22	35986	-0.01486	0.50593	ANKRD65
ENSG00000205116	1	1311508	1413167	283	20	35986	-0.13825	0.55498	TMEM88B
ENSG00000179403	1	1320241	1428262	276	21	35986	-0.14304	0.55687	VWA1
ENSG00000215915	1	1335069	1455538	330	26	35986	-0.44392	0.67145	ATAD3C
ENSG00000160072	1	1357143	1483228	357	29	35986	-0.43164	0.667	ATAD3B
ENSG00000197785	1	1397531	1520067	351	22	35986	-0.10216	0.54069	ATAD3A
ENSG00000205090	1	1420554	1525833	342	23	35986	-0.091139	0.53631	TMEM240
