ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000162368	CMPK1	1	47799469	47844511	1	protein_coding	51727	CMPK1	0.319273509909851	-0.042960407	0	0	1	5.11714e-07	7.22819435379925e-05	PsychENCODE_eQTLs:CMC_SVA_cis	NA	No	NA	7.11871897542e-24	rs6658111	1
ENSG00000157851	DPYSL5	2	27070615	27173219	1	protein_coding	56896	DPYSL5	0.998332100766402	-1.359535382	1	18.97	10	9.71651e-17	4.17288883224736e-14	PsychENCODE_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Substantia_nigra	NA	No	NA	1.79926239385e-20	rs10191551;rs7575465	2
ENSG00000084764	MAPRE3	2	27193480	27250064	1	protein_coding	22924	MAPRE3	0.799864407370243	-0.767319281	4	15.81	10	3.33014e-09	6.6132540942876e-07	PsychENCODE_eQTLs:CMC_SVA_cis	NA	No	NA	1.79926239385e-20	rs7575465;rs10191551	2
ENSG00000119777	TMEM214	2	27255778	27264563	1	protein_coding	54867	TMEM214	0.00116735534958103	-0.517227915	2	15.81	0	NA	NA	NA	NA	No	NA	4.58327425832e-14	rs7575465;rs10191551	2
ENSG00000084693	AGBL5	2	27265232	27293490	1	protein_coding	60509	AGBL5	0.0206948513459665	-0.378650928	3	16.07	0	NA	NA	NA	NA	No	NA	1.79926239385e-20	rs7575465;rs10191551	2
ENSG00000229122	AGBL5-IT1	2	27283906	27284683	1	sense_intronic	106481744	AGBL5-IT1	NA	NA	1	16.07	0	NA	NA	NA	NA	No	NA	1.79926239385e-20	rs7575465	2
ENSG00000228474	OST4	2	27293340	27294641	-1	protein_coding	100128731	OST4	NA	NA	2	16.07	0	NA	NA	NA	NA	No	NA	1.79926239385e-20	rs7575465;rs10191551	2
ENSG00000138080	EMILIN1	2	27301435	27309271	1	protein_coding	11117	EMILIN1	0.00521656081419512	NA	3	18.13	0	NA	NA	NA	NA	No	NA	1.79926239385e-20	rs7575465;rs10191551	2
ENSG00000138030	KHK	2	27309615	27323640	1	protein_coding	3795	KHK	5.36079485314004e-05	NA	2	18.13	10	1.15046e-09	4.20626e-06	PsychENCODE_eQTLs:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	NA	No	NA	1.79926239385e-20	rs7575465;rs10191551	2
ENSG00000138028	CGREF1	2	27321757	27341995	-1	protein_coding	10669	CGREF1	5.50290788195318e-08	0.491986309	2	18.13	2	1.90486e-10	4.43692441725326e-08	PsychENCODE_eQTLs	NA	No	NA	1.12818020183e-16	rs7575465;rs10191551	2
ENSG00000138073	PREB	2	27353624	27357543	-1	protein_coding	10113	PREB	0.0018983627682706	-0.154458724	0	0	1	0.000552028	0.0358430845148736	PsychENCODE_eQTLs	NA	No	NA	4.58327425832e-14	rs7575465;rs10191551	2
ENSG00000115226	FNDC4	2	27714750	27718112	-1	protein_coding	64838	FNDC4	0.759219015798597	NA	0	0	3	NA	0.049	CMC_SVA_cis	NA	No	NA	4.10364744256e-17	rs10191551;rs7575465	2
