ensg	symbol	Adipose_Tissue	Adrenal_Gland	Bladder	Blood	Blood_Vessel	Brain	Breast	Cervix_Uteri	Colon	Esophagus	Fallopian_Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
ENSG00000157851	DPYSL5	0.0677480195500459	0.299744583922374	0.0949405978487744	0.0372091907265696	0.0469448519721322	4.74367236268838	0.0692481696028754	0.0575272953032591	0.876356735102703	0.263656955318168	0.0629647950194034	0.0437984511102455	0.0344995368803726	0.02633437328003	0.0521474350244291	0.126612176408642	0.0727343276897316	0.372034664140144	0.0321094650028572	3.92305873787622	0.284043112694528	0.0461794683751022	0.0516639804941169	0.435687743622148	0.0349024786926688	0.283291994716376	3.22893502994167	0.0592637753807508	0.0637193519115295	0.175803332475588
ENSG00000084764	MAPRE3	5.07384974119386	4.41666718044657	5.13308782372237	2.59690642558111	4.82156867751382	5.55174244399134	5.15546663019153	5.41560025933317	4.94503356371726	4.72643419943085	5.37802260341242	4.58775303461779	4.65676016083458	4.41390475645482	4.88280723531824	5.62788725944324	5.29292910929791	5.64292727321118	3.18417341306911	5.6724253419715	5.36835200052873	4.56673734114952	5.0172985005076	3.78043746345354	4.52149309952511	4.66167503141194	5.63247285882893	5.47632165095142	5.55129820960619	4.97053335382426
ENSG00000119777	TMEM214	5.66606718325978	5.64348201888897	5.6724253419715	4.73891813474203	5.67145156427272	4.49520068177315	5.67125999915731	5.67223154445131	5.66161118117837	5.64292785147633	5.6724253419715	4.86774876004126	5.21491913887967	5.37470753019976	5.67140084318039	4.82719381459031	5.6724253419715	5.6724253419715	5.63677610122847	5.66773669521566	5.6724253419715	5.66146670058638	5.67034395562042	5.66201260322068	5.6724253419715	5.63030676576545	5.66904875964546	5.67131115070631	5.6724253419715	5.6689927861579
ENSG00000084693	AGBL5	3.58853757703854	4.07179992737492	4.5683364735538	2.38620474733178	4.01062949214247	3.07403712676097	3.84913280946344	4.37277309890812	4.11239344882146	4.10113501671393	4.43778030898543	2.2218575941118	3.83246480706353	2.06705204431772	3.66376355915655	2.27682624044455	4.05613704019868	4.51394609573194	2.74984407513532	4.20730424918287	4.33779604916899	4.03345205431491	3.99297856947409	3.4471074021838	3.45294514544415	3.66594156138568	5.67048755805757	4.65092010684749	4.53464022963987	3.84023275886619
ENSG00000228474	OST4	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.63298298313485	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.5781421517562	5.6724253419715	5.61373206634267	5.6724253419715	5.67101741817487	5.6724253419715	5.6724253419715	5.66195594409476	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715
ENSG00000138080	EMILIN1	5.50224618947032	5.39416481017512	5.6724253419715	1.13867996758401	5.67155295131239	2.49370306498165	5.50518525354248	5.54802934424059	5.51704864415653	5.21223956575607	5.6724253419715	4.6845492918439	4.69176556363295	4.18924412722804	5.66971132394624	2.87977420195169	5.51399175939745	5.6724253419715	3.28075065382346	4.9782834093203	5.63080940974908	4.3047029910495	4.67925139907411	5.35949268706199	5.65454227663663	5.23337797114715	4.78951488614008	5.33779249678278	5.6724253419715	5.41095210444791
ENSG00000138030	KHK	2.12695131315265	2.78102059548477	2.11832714735642	1.31322943544696	2.55487885731229	3.04359281476341	2.19825593673717	2.71052239573754	2.91552618737235	2.29441899598013	3.33741207994733	1.05426812485809	5.01822211410922	5.66133437669405	2.12396771157507	1.22302937680683	3.27663644362241	2.94526474031672	2.29720848675055	1.86170148567682	1.91393807291043	2.14484835959879	1.87436879818449	4.58705234102443	2.22030490620659	2.22767015883498	3.05573745488249	1.82567051781841	3.52607020243233	2.48314857382227
ENSG00000138028	CGREF1	2.04925701367596	0.854736581400443	0.782860282353146	0.22510148742225	1.9820634939501	4.0485720757073	2.08104921877155	2.01644696275601	0.96205270184731	1.0660545630116	3.76303249477804	1.00124194823022	1.3673085871947	2.26247847551414	0.949689217687538	1.64836477689728	2.19850359882816	3.91258113563346	0.725531506752227	2.03286414087683	1.42736436975964	3.57106822059554	1.74093498690742	1.39284566842849	0.54347056070883	1.78127808378031	2.52993891578962	1.45799053733084	3.47608637576647	1.25808910313486
ENSG00000143994	ABHD1	1.38224466242088	1.36830696007371	0.60061118669361	0.375799700639432	0.755419696247662	1.62899454372669	1.60534733044658	1.06924479294323	0.809414126093259	0.699512801454549	1.25942805860459	1.49002801400623	1.06415088790553	1.84312835574521	0.640380575876223	1.8635744925547	2.02235175416614	1.73660541717306	0.411780224044909	1.82742490980465	1.78330523628135	1.74204725846596	0.509952213301255	0.794101369521471	1.03962003549883	0.664776561165749	5.57900028687823	1.4462881552102	1.36147454725506	0.837383727644745
ENSG00000138073	PREB	5.62760222984785	5.60596143200212	5.62761328729655	5.10137826947818	5.60565881195424	4.90918767030978	5.64176264877423	5.65144088448334	5.58665378271004	5.59963031547468	5.67170078785854	5.1411869162922	5.33368930306507	5.57305045039693	5.63375970607332	5.65278500551375	5.66465034139298	5.6664848524638	5.42486716729624	5.66827809547623	5.66964186031692	5.65094481591176	5.57177027733485	5.62701685981851	5.6724253419715	5.56382525074418	5.67087023385631	5.66263561457536	5.6724253419715	5.64148609366514
