ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000162368	51727	CMPK1	CMPK1	191710	P30085	DB00441:DB03403:DB03435:DB03664:DB04444
ENSG00000186564	2306	FOXD2	FOXD2	602211	O60548	NA
ENSG00000269113	388630	TRABD2B	TRABD2B	614913	A6NFA1	NA
ENSG00000123243	80760	ITIH5	ITIH5	609783	Q86UX2	NA
ENSG00000149256	26011	TENM4	TENM4	610084	Q6N022	NA
ENSG00000181929	5571	PRKAG1	PRKAG1	602742	P54619	DB00945:DB12010
ENSG00000167548	8085	KMT2D	KMT2D	602113	O14686	NA
ENSG00000167550	121268	RHEBL1	RHEBL1	NA	Q8TAI7	NA
ENSG00000139549	50846	DHH	DHH	605423	O43323	NA
ENSG00000139636	55716	LMBR1L	LMBR1L	610007	Q6UX01	NA
ENSG00000123416	10376	TUBA1B	TUBA1B	602530	P68363	DB01873:DB03010:DB05147:DB07574
ENSG00000167552	7846	TUBA1A	TUBA1A	602529	Q71U36	DB00518:DB00570:DB00643:DB01873:DB03010:DB05147:DB07574:DB11638:DB12695
ENSG00000167553	84790	TUBA1C	TUBA1C	NA	Q9BQE3	DB01873:DB03010:DB05147:DB07574
ENSG00000135451	10024	TROAP	TROAP	603872	Q12815	NA
ENSG00000178401	79962	DNAJC22	DNAJC22	NA	Q8N4W6	NA
ENSG00000123352	65244	SPATS2	SPATS2	611667	Q86XZ4	NA
ENSG00000161791	91010	FMNL3	FMNL3	616288	Q8IVF7	NA
ENSG00000139644	7009	TMBIM6	TMBIM6	600748	P55061	NA
ENSG00000100575	26520	TIMM9	TIMM9	607384	Q9Y5J7	NA
ENSG00000165617	51339	DACT1	DACT1	607861	Q9NYF0	NA
ENSG00000100592	23002	DAAM1	DAAM1	606626	Q9Y4D1	NA
ENSG00000139970	6252	RTN1	RTN1	600865	Q16799	NA
ENSG00000172575	10125	RASGRP1	RASGRP1	603962	O95267	NA
ENSG00000137801	7057	THBS1	THBS1	188060	P07996	NA
ENSG00000176692	2303	FOXC2	FOXC2	602402	Q99958	NA
ENSG00000176678	2300	FOXL1	FOXL1	603252	Q12952	NA
ENSG00000260456	100506581	C16orf95	C16orf95	NA	Q9H693	NA
ENSG00000103264	79791	FBXO31	FBXO31	609102	Q5XUX0	NA
ENSG00000178773	27132	CPNE7	CPNE7	605689	Q9UBL6	NA
ENSG00000131165	5119	CHMP1A	CHMP1A	164010	Q9HD42	NA
ENSG00000167523	124045	SPATA33	SPATA33	615409	Q96N06	NA
ENSG00000185324	8558	CDK10	CDK10	603464	Q15131	NA
ENSG00000260259	105371416	RP11-368I7.4	LOC105371416	NA	NA	NA
ENSG00000158805	92822	ZNF276	ZNF276	608460	Q8N554	NA
ENSG00000187741	2175	FANCA	FANCA	607139	O15360	NA
ENSG00000204991	84501	SPIRE2	SPIRE2	609217	Q8WWL2	DB08080
ENSG00000141002	22980	TCF25	TCF25	612326	Q9BQ70	NA
ENSG00000258839	4157	MC1R	MC1R	155555	Q01726	DB04931:DB05479:DB11653
ENSG00000198211	10381	TUBB3	TUBB3	602661	Q13509	DB01873:DB03010:DB04845:DB05147:DB06042:DB12695
ENSG00000140995	54849	DEF8	DEF8	NA	Q6ZN54	NA
ENSG00000177946	92806	CENPBD1	CENPBD1	NA	B2RD01	NA
ENSG00000003249	79007	DBNDD1	DBNDD1	NA	Q9H9R9	NA
ENSG00000141013	2622	GAS8	GAS8	605178	O95995	NA
ENSG00000221819	750	C16orf3	GAS8-AS1	605179	O95177	NA
ENSG00000225190	9842	PLEKHM1	PLEKHM1	611466	Q9Y4G2	NA
ENSG00000120088	1394	CRHR1	CRHR1	122561	P34998	DB09067
ENSG00000186868	4137	MAPT	MAPT	157140	P10636	DB00448:DB00637:DB01229:DB01248
ENSG00000120071	284058	KANSL1	KANSL1	612452	Q7Z3B3	NA
ENSG00000228696	100506084	ARL17B	ARL17B	NA	Q8IVW1	NA
ENSG00000176681	9884	LRRC37A	LRRC37A	616555	A6NMS7	NA
ENSG00000238083	474170	LRRC37A2	LRRC37A2	616556	A6NM11	NA
ENSG00000185829	51326	ARL17A	ARL17A	NA	Q8IVW1	NA
ENSG00000073969	4905	NSF	NSF	601633	P46459	DB01902
ENSG00000108379	7473	WNT3	WNT3	165330	P56703	NA
ENSG00000157851	56896	DPYSL5	DPYSL5	608383	Q9BPU6	NA
ENSG00000084764	22924	MAPRE3	MAPRE3	605788	Q9UPY8	NA
ENSG00000119777	54867	TMEM214	TMEM214	615301	Q6NUQ4	NA
ENSG00000084693	60509	AGBL5	AGBL5	615900	Q8NDL9	NA
ENSG00000228474	100128731	OST4	OST4	NA	P0C6T2	NA
ENSG00000138080	11117	EMILIN1	EMILIN1	130660	Q9Y6C2	NA
ENSG00000138030	3795	KHK	KHK	614058	P50053	NA
ENSG00000138028	10669	CGREF1	CGREF1	606137	Q99674	NA
ENSG00000138073	10113	PREB	PREB	606395	Q9HCU5	NA
ENSG00000205221	5212	VIT	VIT	NA	Q6UXI7	NA
ENSG00000115808	6801	STRN	STRN	614765	O43815	NA
ENSG00000115828	25797	QPCT	QPCT	607065	Q16769	DB04581:DB04622:DB04636
ENSG00000138081	80204	FBXO11	FBXO11	607871	Q86XK2	NA
ENSG00000170802	3344	FOXN2	FOXN2	143089	P32314	NA
ENSG00000198369	200734	SPRED2	SPRED2	609292	Q7Z698	NA
ENSG00000143995	4211	MEIS1	MEIS1	601739	O00470	NA
ENSG00000150556	130576	LYPD6B	LYPD6B	NA	Q8NI32	NA
ENSG00000187123	130574	LYPD6	LYPD6	613359	Q86Y78	NA
ENSG00000186866	23275	POFUT2	POFUT2	610249	Q9Y2G5	NA
ENSG00000182871	80781	COL18A1	COL18A1	120328	P39060	NA
ENSG00000044524	2042	EPHA3	EPHA3	179611	P29320	DB12010
ENSG00000004864	10165	SLC25A13	SLC25A13	603859	Q9UJS0	DB00128
ENSG00000127922	7979	SHFM1	SHFM1	601285	P60896	NA
ENSG00000006377	1750	DLX6	DLX6	600030	P56179	NA
ENSG00000240694	10687	PNMA2	PNMA2	603970	Q9UL42	NA
ENSG00000092964	1808	DPYSL2	DPYSL2	602463	Q16555	DB11638
ENSG00000155926	6503	SLA	SLA	601099	Q13239	NA
ENSG00000104415	8840	WISP1	WISP1	603398	O95388	NA
ENSG00000119514	79695	GALNT12	GALNT12	610290	Q8IXK2	NA
ENSG00000204291	1306	COL15A1	COL15A1	120325	P39059	NA
