#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:32829096	(2020) Screening non-MAPT genes of the Chr17q21 H1 haplotype in Parkinsons disease.	8	9	2.74	1.58e-12	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000332488,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247,9606.ENSP00000459551	KANSL1,LRRC37A,SPPL2C,ARL17A,MAPT,CRHR1,ARL17B,LRRC37A2
PMID:27115769	(2016) Gene expression, methylation and neuropathology correlations at progressive supranuclear palsy risk loci.	6	13	2.45	5.17e-07	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247	KANSL1,LRRC37A,ARL17A,MAPT,CRHR1,ARL17B
PMID:27899424	(2017) Genetic architecture of sporadic frontotemporal dementia and overlap with Alzheimers and Parkinsons diseases.	6	21	2.24	3.73e-06	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000459551	WNT3,KANSL1,LRRC37A,MAPT,CRHR1,LRRC37A2
PMID:24649381	(2014) A case of 17q21.31 microduplication and 7q31.33 microdeletion, associated with developmental delay, microcephaly, and mild dysmorphic features.	5	8	2.58	8.95e-06	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,SPPL2C,MAPT,CRHR1,STH
PMID:30136084	(2018) Divergent brain gene expression patterns associate with distinct cell-specific tau neuropathology traits in progressive supranuclear palsy.	6	30	2.09	1.46e-05	9606.ENSP00000262419,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247,9606.ENSP00000459551	KANSL1,ARL17A,MAPT,CRHR1,ARL17B,LRRC37A2
PMID:27498889	(2016) A Highly Polymorphic Copy Number Variant in the NSF Gene is Associated with Cocaine Dependence.	5	12	2.41	2.86e-05	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381293,9606.ENSP00000404247,9606.ENSP00000459551	LRRC37A,MAPT,NSF,ARL17B,LRRC37A2
PMID:28588437	(2017) Molecular Characterization of Koolen De Vries Syndrome in Two Girls with Idiopathic Intellectual Disability from Central Brazil.	4	4	2.79	0.00017	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333	KANSL1,SPPL2C,MAPT,CRHR1
PMID:21685912	(2011) Identification of common variants influencing risk of the tauopathy progressive supranuclear palsy.	5	19	2.21	0.00017	9606.ENSP00000262419,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247	KANSL1,ARL17A,MAPT,CRHR1,ARL17B
PMID:15459824	(2004) Linkage disequilibrium and haplotype tagging polymorphisms in the Tau H1 haplotype.	4	4	2.79	0.00017	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,MAPT,CRHR1,STH
PMID:25139666	(2014) Family based genome-wide copy number scan identifies complex rearrangements at 17q21.31 in dyslexics.	4	5	2.69	0.00025	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000337478,9606.ENSP00000404247	KANSL1,LRRC37A,ARL17A,ARL17B
PMID:30980028	(2019) The molecular genetics of hand preference revisited.	5	24	2.11	0.00029	9606.ENSP00000262419,9606.ENSP00000337478,9606.ENSP00000353508,9606.ENSP00000404247,9606.ENSP00000459551	KANSL1,ARL17A,MAP2,ARL17B,LRRC37A2
PMID:27287230	(2016) Comprehensive promoter level expression quantitative trait loci analysis of the human frontal lobe.	5	25	2.09	0.00032	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389277	KANSL1,LRRC37A,MAPT,CRHR1,TMBIM6
