annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	68	0.0157919182535996	1.65949819149987	0.000106538681163116
UTR5	46406	0.00284084213467316	38	0.00882489549465862	3.10643642846206	2.63071251318144e-09
downstream	184076	0.0112686044214562	42	0.00975383186251742	0.865575851073932	0.385997980875125
exonic	157410	0.00963618843293758	63	0.0146307477937761	1.51831275359525	0.00170724080980174
intergenic	7340829	0.449384483183869	584	0.135624709707385	0.301801051844269	0
intronic	6228556	0.38129432234994	2166	0.503019043195541	1.31924084286229	5.11524660669498e-59
ncRNA_exonic	164533	0.0100722380499112	79	0.0183464932652113	1.82149122908916	8.38964426875212e-07
ncRNA_intronic	1884461	0.115361294012591	1211	0.281235485369252	2.43786694468386	4.96434757950063e-192
ncRNA_splicing	826	5.05653493780982e-05	0	0	0	1
splicing	1588	9.72128024363438e-05	2	0.000464468183929401	4.77784995688753	0.066578185781053
upstream	171164	0.0104781688389259	53	0.0123084068741291	1.17467155409865	0.230783787803391
