GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	688532	789137	56	2	19644	-0.4203	0.66287	AL669831.1
ENSG00000269308	1	768043	869983	214	25	19644	0.94262	0.17294	AL645608.2
ENSG00000187634	1	810260	929955	326	41	19644	1.1035	0.13491	SAMD11
ENSG00000268179	1	811264	916445	273	33	19644	0.97191	0.16555	AL645608.1
ENSG00000188976	1	829584	944689	370	44	19644	1.0438	0.14829	NOC2L
ENSG00000187961	1	845967	951095	334	40	19644	1.2507	0.10552	KLHL17
ENSG00000187583	1	851877	961245	345	41	19644	1.2322	0.10893	PLEKHN1
ENSG00000187642	1	860579	967497	330	39	19644	1.1756	0.11988	C1orf170
ENSG00000188290	1	884342	985552	317	33	19644	0.98452	0.16243	HES4
ENSG00000187608	1	898803	999920	302	30	19644	0.89617	0.18508	ISG15
ENSG00000188157	1	905503	1041496	390	37	19644	0.67965	0.24836	AGRN
ENSG00000237330	1	956346	1059687	302	28	19644	0.016587	0.49338	RNF223
ENSG00000131591	1	967198	1101741	420	40	19644	-0.8517	0.80281	C1orf159
ENSG00000162571	1	1059264	1183315	517	44	19644	-2.1936	0.98587	TTLL10
ENSG00000186891	1	1088888	1192071	451	38	19644	-2.1008	0.98217	TNFRSF18
ENSG00000186827	1	1096706	1199518	435	35	19644	-1.7792	0.96239	TNFRSF4
ENSG00000078808	1	1102288	1217411	481	38	19644	-1.794	0.96359	SDF4
ENSG00000176022	1	1117629	1220421	428	33	19644	-1.6524	0.95077	B3GALT6
ENSG00000184163	1	1127826	1232102	393	31	19644	-1.5028	0.93356	FAM132A
ENSG00000160087	1	1139289	1259265	403	32	19644	-0.79243	0.78594	UBE2J2
ENSG00000162572	1	1165816	1277409	325	33	19644	0.10178	0.45947	SCNN1D
ENSG00000131584	1	1177756	1294989	327	31	19644	0.63901	0.26141	ACAP3
ENSG00000169972	1	1193947	1297057	274	24	19644	0.91802	0.1793	PUSL1
ENSG00000127054	1	1196965	1310071	345	28	19644	0.86639	0.19314	CPSF3L
ENSG00000224051	1	1210136	1314277	342	26	19644	0.99864	0.15898	GLTPD1
ENSG00000169962	1	1216694	1320686	330	23	19644	1.135	0.12819	TAS1R3
ENSG00000107404	1	1220656	1334730	335	22	19644	1.1695	0.12111	DVL1
ENSG00000162576	1	1238069	1347157	327	20	19644	1.2623	0.10342	MXRA8
ENSG00000175756	1	1259110	1360875	340	20	19644	1.3783	0.084059	AURKAIP1
ENSG00000221978	1	1271091	1384708	344	22	19644	1.2263	0.11004	CCNL2
ENSG00000224870	1	1284902	1387426	307	20	19644	1.1917	0.11669	RP4-758J18.2
ENSG00000242485	1	1287288	1392693	307	21	19644	1.1391	0.12733	MRPL20
ENSG00000235098	1	1303800	1407149	241	19	19644	1.0685	0.14265	ANKRD65
ENSG00000205116	1	1311508	1413167	200	16	19644	1.1481	0.12547	TMEM88B
ENSG00000179403	1	1320241	1428262	188	17	19644	0.98148	0.16318	VWA1
ENSG00000215915	1	1335069	1455538	234	23	19644	1.0039	0.15772	ATAD3C
ENSG00000160072	1	1357143	1483228	239	24	19644	0.76982	0.2207	ATAD3B
ENSG00000197785	1	1397531	1520067	245	20	19644	0.62314	0.26659	ATAD3A
ENSG00000205090	1	1420554	1525833	235	20	19644	0.72106	0.23544	TMEM240
ENSG00000160075	1	1427053	1560249	273	27	19644	0.7481	0.2272	SSU72
ENSG00000215014	1	1460355	1561373	190	22	19644	0.60444	0.27277	AL645728.1
ENSG00000228594	1	1483392	1585476	149	21	19644	0.2685	0.39416	C1orf233
ENSG00000197530	1	1500795	1615990	142	21	19644	-0.01982	0.50791	MIB2
ENSG00000189409	1	1517474	1620639	113	15	19644	-0.057714	0.52301	MMP23B
ENSG00000248333	1	1520603	1640473	130	18	19644	-0.11835	0.5471	CDK11B
ENSG00000189339	1	1542939	1674167	144	18	19644	-0.24173	0.5955	SLC35E2B
ENSG00000008128	1	1584169	1705766	157	19	19644	-0.64052	0.73908	CDK11A
ENSG00000215790	1	1606277	1727431	151	15	19644	-0.41374	0.66047	SLC35E2
ENSG00000008130	1	1632671	1761896	172	16	19644	-0.71828	0.76371	NADK
ENSG00000078369	1	1666729	1872495	352	20	19644	-0.6898	0.75484	GNB1
ENSG00000169885	1	1796266	1898735	255	17	19644	-0.17739	0.5704	CALML6
ENSG00000178821	1	1799029	1900712	272	18	19644	-0.17518	0.56953	TMEM52
ENSG00000142609	1	1803396	1985276	457	38	19644	0.010337	0.49588	C1orf222
ENSG00000187730	1	1900780	2012192	276	35	19644	1.1346	0.12827	GABRD
ENSG00000067606	1	1931909	2166834	570	43	19644	1.013	0.15554	PRKCZ
ENSG00000162585	1	2065903	2194159	295	28	19644	0.29938	0.38232	C1orf86
ENSG00000269554	1	2071237	2173179	231	24	19644	-0.040025	0.51596	AL590822.2
ENSG00000203301	1	2093360	2195620	217	28	19644	0.68833	0.24562	AL590822.1
ENSG00000157933	1	2110134	2291558	512	68	19644	0.723	0.23484	SKI
ENSG00000116151	1	2202692	2373146	559	77	19644	0.067666	0.47303	MORN1
ENSG00000269753	1	2208581	2309042	360	53	19644	0.38288	0.3509	AL589739.1
ENSG00000157916	1	2273267	2386883	387	66	19644	-0.21064	0.58341	RER1
ENSG00000157911	1	2286236	2395236	351	64	19644	0.1661	0.43404	PEX10
ENSG00000149527	1	2307419	2486969	494	80	19644	0.12386	0.45071	PLCH2
ENSG00000157881	1	2389972	2508039	302	37	19644	0.41811	0.33793	PANK4
ENSG00000197921	1	2410184	2511684	262	29	19644	-0.14986	0.55956	HES5
ENSG00000157873	1	2437078	2546821	342	25	19644	0.33196	0.36996	TNFRSF14
