# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 17302
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17302   -0.0040491   -0.0079468     0.013487      0.61799
Adrenal_Gland       COVAR   17302     -0.01629    -0.031437     0.010341      0.94239
Bladder             COVAR   17302    0.0051981     0.010128     0.016208      0.37422
Blood               COVAR   17302    -0.013377    -0.024024    0.0062131      0.98434
Blood_Vessel        COVAR   17302    0.0020347    0.0041275     0.011857      0.43188
Brain               COVAR   17302   -0.0027099   -0.0047051    0.0069083      0.65257
Breast              COVAR   17302    0.0090145     0.017327     0.016028      0.28691
Cervix_Uteri        COVAR   17302     0.015837     0.031099     0.014244      0.13311
Colon               COVAR   17302     0.019757     0.036972     0.015991      0.10834
Esophagus           COVAR   17302     0.010222     0.019251     0.017301      0.27731
Fallopian_Tube      COVAR   17302    0.0018391    0.0035663     0.013964      0.44761
Heart               COVAR   17302   -0.0064784    -0.011145    0.0096194      0.74967
Kidney              COVAR   17302   -0.0099912    -0.017575    0.0095816      0.85146
Liver               COVAR   17302    -0.010922    -0.019662    0.0065538      0.95218
Lung                COVAR   17302       0.0178       0.0344     0.010632     0.047054
Muscle              COVAR   17302   -0.0057435    -0.010864    0.0069377      0.79612
Nerve               COVAR   17302    0.0085707     0.017244     0.010486      0.20686
Ovary               COVAR   17302    0.0063286     0.012825     0.010397      0.27136
Pancreas            COVAR   17302   -0.0017363   -0.0029031    0.0087909      0.57828
Pituitary           COVAR   17302     0.024221     0.045137    0.0083318    0.0018267
Prostate            COVAR   17302     0.015514      0.02942     0.013852      0.13138
Salivary_Gland      COVAR   17302    0.0066846     0.012436     0.010915      0.27013
Skin                COVAR   17302   0.00056673    0.0010804      0.01009       0.4776
Small_Intestine     COVAR   17302    0.0085539     0.015725     0.010937      0.21708
Spleen              COVAR   17302   -0.0083945    -0.016631    0.0078545       0.8574
Stomach             COVAR   17302     0.004264     0.007745     0.013656      0.37743
Testis              COVAR   17302   -0.0027558   -0.0047531    0.0055845      0.68916
Thyroid             COVAR   17302     0.014478     0.028657     0.010898      0.09201
Uterus              COVAR   17302     0.003029    0.0061695      0.01207      0.40093
Vagina              COVAR   17302     0.014129     0.027008     0.012775      0.13438
