ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000181929	5571	PRKAG1	PRKAG1	602742	P54619	DB00945:DB12010
ENSG00000167548	8085	KMT2D	KMT2D	602113	O14686	NA
ENSG00000167550	121268	RHEBL1	RHEBL1	NA	Q8TAI7	NA
ENSG00000139549	50846	DHH	DHH	605423	O43323	NA
ENSG00000139636	55716	LMBR1L	LMBR1L	610007	Q6UX01	NA
ENSG00000123416	10376	TUBA1B	TUBA1B	602530	P68363	DB01873:DB03010:DB05147:DB07574
ENSG00000167552	7846	TUBA1A	TUBA1A	602529	Q71U36	DB00518:DB00570:DB00643:DB01873:DB03010:DB05147:DB07574:DB11638:DB12695
ENSG00000167553	84790	TUBA1C	TUBA1C	NA	Q9BQE3	DB01873:DB03010:DB05147:DB07574
ENSG00000135451	10024	TROAP	TROAP	603872	Q12815	NA
ENSG00000178401	79962	DNAJC22	DNAJC22	NA	Q8N4W6	NA
ENSG00000123352	65244	SPATS2	SPATS2	611667	Q86XZ4	NA
ENSG00000161791	91010	FMNL3	FMNL3	616288	Q8IVF7	NA
ENSG00000139644	7009	TMBIM6	TMBIM6	600748	P55061	NA
ENSG00000140307	2958	GTF2A2	GTF2A2	600519	P52657	NA
ENSG00000141002	22980	TCF25	TCF25	612326	Q9BQ70	NA
ENSG00000258839	4157	MC1R	MC1R	155555	Q01726	DB04931:DB05479:DB11653
ENSG00000120088	1394	CRHR1	CRHR1	122561	P34998	DB09067
ENSG00000185294	162540	SPPL2C	SPPL2C	608284	Q8IUH8	NA
ENSG00000186868	4137	MAPT	MAPT	157140	P10636	DB00448:DB00637:DB01229:DB01248
ENSG00000256762	246744	STH	STH	607067	Q8IWL8	NA
ENSG00000120071	284058	KANSL1	KANSL1	612452	Q7Z3B3	NA
ENSG00000228696	100506084	ARL17B	ARL17B	NA	Q8IVW1	NA
ENSG00000176681	9884	LRRC37A	LRRC37A	616555	A6NMS7	NA
ENSG00000238083	474170	LRRC37A2	LRRC37A2	616556	A6NM11	NA
ENSG00000185829	51326	ARL17A	ARL17A	NA	Q8IVW1	NA
ENSG00000073969	4905	NSF	NSF	601633	P46459	DB01902
ENSG00000108379	7473	WNT3	WNT3	165330	P56703	NA
ENSG00000186665	284018	C17orf58	C17orf58	NA	Q2M2W7	NA
ENSG00000198369	200734	SPRED2	SPRED2	609292	Q7Z698	NA
ENSG00000143995	4211	MEIS1	MEIS1	601739	O00470	NA
ENSG00000078018	4133	MAP2	MAP2	157130	P11137	DB01196:DB01229:DB01248
ENSG00000144406	285175	UNC80	UNC80	612636	Q8N2C7	NA
