Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	1871	2	0.734792363796666	1	ENSG00000186665:ENSG00000198369
DEG.up	Adipose_Visceral_Omentum	1596	2	0.648731200601183	1	ENSG00000186665:ENSG00000198369
DEG.up	Adrenal_Gland	1374	1	0.854467508014698	1	ENSG00000143995
DEG.up	Artery_Aorta	2391	3	0.644928594709307	1	ENSG00000143995:ENSG00000198369:ENSG00000167553
DEG.up	Artery_Coronary	1805	2	0.715848816827796	1	ENSG00000161791:ENSG00000167553
DEG.up	Artery_Tibial	2418	1	0.968993925209812	1	ENSG00000161791
DEG.up	Bladder	786	1	0.663211542952845	1	ENSG00000143995
DEG.up	Brain_Amygdala	1617	5	0.0653612438464711	1	ENSG00000120088:ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000144406
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2092	6	0.0599838760791821	1	ENSG00000120088:ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000167550:ENSG00000144406
DEG.up	Brain_Caudate_basal_ganglia	1930	4	0.265785909575307	1	ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000144406
DEG.up	Brain_Cerebellar_Hemisphere	4977	16	0.000283018295568033	0.0152829879606738	ENSG00000228696:ENSG00000186665:ENSG00000120088:ENSG00000120071:ENSG00000139636:ENSG00000238083:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000143995:ENSG00000073969:ENSG00000167550:ENSG00000123352:ENSG00000185294:ENSG00000256762:ENSG00000144406
DEG.up	Brain_Cerebellum	4801	16	0.000182382646541741	0.00984866291325402	ENSG00000186665:ENSG00000120088:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000238083:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000143995:ENSG00000073969:ENSG00000167550:ENSG00000123352:ENSG00000185294:ENSG00000256762:ENSG00000144406
DEG.up	Brain_Cortex	2427	6	0.10579952476037	1	ENSG00000120088:ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000167550:ENSG00000144406
DEG.up	Brain_Frontal_Cortex_BA9	2726	6	0.159120346604735	1	ENSG00000120088:ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000167550:ENSG00000144406
DEG.up	Brain_Hippocampus	1728	5	0.0819308294318078	1	ENSG00000120088:ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000144406
DEG.up	Brain_Hypothalamus	2226	5	0.18085210517778	1	ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000144406:ENSG00000108379
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	2105	4	0.320595095226171	1	ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000144406
DEG.up	Brain_Putamen_basal_ganglia	1527	4	0.151006617340312	1	ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000144406
DEG.up	Brain_Spinal_cord_cervical_c-1	1900	2	0.742786775937312	1	ENSG00000078018:ENSG00000186868
DEG.up	Brain_Substantia_nigra	1464	3	0.320887547858962	1	ENSG00000078018:ENSG00000186868:ENSG00000144406
DEG.up	Breast_Mammary_Tissue	1733	2	0.693968779580784	1	ENSG00000186665:ENSG00000198369
DEG.up	Cells_Cultured_fibroblasts	4060	5	0.668781379937236	1	ENSG00000073969:ENSG00000123352:ENSG00000198369:ENSG00000135451:ENSG00000167553
DEG.up	Cells_EBV-transformed_lymphocytes	4518	6	0.59706402616011	1	ENSG00000161791:ENSG00000140307:ENSG00000167550:ENSG00000123352:ENSG00000135451:ENSG00000167553
DEG.up	Cervix_Ectocervix	192	1	0.230833524734382	1	ENSG00000143995
DEG.up	Cervix_Endocervix	1797	3	0.446539504414018	1	ENSG00000120071:ENSG00000139636:ENSG00000143995
DEG.up	Colon_Sigmoid	1423	1	0.864431807325803	1	ENSG00000143995
DEG.up	Colon_Transverse	1444	3	0.313284456792391	1	ENSG00000178401:ENSG00000143995:ENSG00000135451
DEG.up	Esophagus_Gastroesophageal_Junction	1140	1	0.796238656722711	1	ENSG00000143995
DEG.up	Esophagus_Mucosa	2018	2	0.773309622145877	1	ENSG00000135451:ENSG00000167553
DEG.up	Esophagus_Muscularis	1157	1	0.801136614840172	1	ENSG00000143995
DEG.up	Fallopian_Tube	477	1	0.481093377946866	1	ENSG00000143995
DEG.up	Heart_Atrial_Appendage	642	0	1	1	
DEG.up	Heart_Left_Ventricle	452	0	1	1	
DEG.up	Kidney_Cortex	1129	1	0.79300733057127	1	ENSG00000178401
DEG.up	Kidney_Medulla	94	0	1	1	
DEG.up	Liver	1300	2	0.534487839398082	1	ENSG00000178401:ENSG00000108379
DEG.up	Lung	3622	3	0.889843856918918	1	ENSG00000161791:ENSG00000143995:ENSG00000198369
DEG.up	Minor_Salivary_Gland	1667	2	0.672772673731608	1	ENSG00000123352:ENSG00000167553
DEG.up	Muscle_Skeletal	990	1	0.747644274432774	1	ENSG00000186868
DEG.up	Nerve_Tibial	4899	6	0.68206586323864	1	ENSG00000139549:ENSG00000161791:ENSG00000167548:ENSG00000139636:ENSG00000167550:ENSG00000198369
DEG.up	Ovary	4612	5	0.780081540771816	1	ENSG00000161791:ENSG00000120071:ENSG00000139636:ENSG00000258839:ENSG00000143995
DEG.up	Pancreas	637	1	0.584856407766421	1	ENSG00000178401
DEG.up	Pituitary	4023	9	0.083105859160769	1	ENSG00000120088:ENSG00000139636:ENSG00000238083:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000123352:ENSG00000144406
DEG.up	Prostate	2579	2	0.879985740181068	1	ENSG00000258839:ENSG00000143995
DEG.up	Skin_Not_Sun_Exposed_Suprapubic	2378	3	0.641119045374321	1	ENSG00000123352:ENSG00000167553:ENSG00000108379
DEG.up	Skin_Sun_Exposed_Lower_leg	2441	3	0.659333282656677	1	ENSG00000120071:ENSG00000167553:ENSG00000108379
DEG.up	Small_Intestine_Terminal_Ileum	2392	2	0.85073787931155	1	ENSG00000178401:ENSG00000135451
DEG.up	Spleen	3492	3	0.873652375035772	1	ENSG00000139636:ENSG00000167550:ENSG00000135451
DEG.up	Stomach	1011	1	0.755067909623971	1	ENSG00000178401
DEG.up	Testis	8577	14	0.247803801824311	1	ENSG00000139549:ENSG00000161791:ENSG00000140307:ENSG00000120071:ENSG00000139636:ENSG00000176681:ENSG00000238083:ENSG00000258839:ENSG00000167550:ENSG00000123352:ENSG00000185294:ENSG00000135451:ENSG00000144406:ENSG00000108379
DEG.up	Thyroid	4553	6	0.605289889772877	1	ENSG00000178401:ENSG00000161791:ENSG00000120071:ENSG00000167548:ENSG00000258839:ENSG00000198369
DEG.up	Uterus	4653	10	0.0844652747971471	1	ENSG00000186665:ENSG00000120088:ENSG00000161791:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000238083:ENSG00000143995:ENSG00000167550:ENSG00000198369
DEG.up	Vagina	2398	6	0.101235929622289	1	ENSG00000186665:ENSG00000120071:ENSG00000143995:ENSG00000123352:ENSG00000135451:ENSG00000167553
DEG.up	Whole_Blood	1740	0	1	1	
DEG.down	Adipose_Subcutaneous	1435	4	0.128275737375069	1	ENSG00000139549:ENSG00000078018:ENSG00000143995:ENSG00000108379
DEG.down	Adipose_Visceral_Omentum	1507	5	0.0510481559583479	1	ENSG00000139549:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000167550
DEG.down	Adrenal_Gland	3237	5	0.455178866126187	1	ENSG00000161791:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000198369
DEG.down	Artery_Aorta	1388	2	0.570798925036157	1	ENSG00000186868:ENSG00000167550
DEG.down	Artery_Coronary	902	2	0.348768284401311	1	ENSG00000186868:ENSG00000135451
DEG.down	Artery_Tibial	1907	4	0.258735025092005	1	ENSG00000186665:ENSG00000186868:ENSG00000258839:ENSG00000143995
DEG.down	Bladder	104	1	0.132285037375051	1	ENSG00000078018
DEG.down	Brain_Amygdala	7343	13	0.168316770466436	1	ENSG00000161791:ENSG00000140307:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000238083:ENSG00000258839:ENSG00000143995:ENSG00000181929:ENSG00000123352:ENSG00000198369:ENSG00000141002:ENSG00000167553
DEG.down	Brain_Anterior_cingulate_cortex_BA24	6337	9	0.50679958408397	1	ENSG00000161791:ENSG00000140307:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000258839:ENSG00000143995:ENSG00000181929:ENSG00000167553
DEG.down	Brain_Caudate_basal_ganglia	6529	10	0.393120450554537	1	ENSG00000161791:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000258839:ENSG00000143995:ENSG00000181929:ENSG00000123352:ENSG00000198369:ENSG00000167553
DEG.down	Brain_Cerebellar_Hemisphere	2504	1	0.972794514038625	1	ENSG00000167553
DEG.down	Brain_Cerebellum	2632	1	0.977628283880083	1	ENSG00000167553
DEG.down	Brain_Cortex	5263	7	0.595706021536613	1	ENSG00000140307:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000258839:ENSG00000143995:ENSG00000167553
DEG.down	Brain_Frontal_Cortex_BA9	4720	7	0.468329120630296	1	ENSG00000161791:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000258839:ENSG00000143995:ENSG00000167553
DEG.down	Brain_Hippocampus	7163	12	0.245823167139192	1	ENSG00000161791:ENSG00000140307:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000258839:ENSG00000143995:ENSG00000181929:ENSG00000123352:ENSG00000198369:ENSG00000141002:ENSG00000167553
DEG.down	Brain_Hypothalamus	5600	9	0.345701267846568	1	ENSG00000161791:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000258839:ENSG00000143995:ENSG00000123352:ENSG00000198369:ENSG00000167553
DEG.down	Brain_Nucleus_accumbens_basal_ganglia	6118	10	0.308955448437237	1	ENSG00000161791:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000258839:ENSG00000143995:ENSG00000181929:ENSG00000123352:ENSG00000198369:ENSG00000167553
DEG.down	Brain_Putamen_basal_ganglia	7435	13	0.180935633015342	1	ENSG00000161791:ENSG00000140307:ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000238083:ENSG00000258839:ENSG00000143995:ENSG00000181929:ENSG00000123352:ENSG00000198369:ENSG00000167553:ENSG00000108379
DEG.down	Brain_Spinal_cord_cervical_c-1	4824	8	0.327861666753822	1	ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000258839:ENSG00000167550:ENSG00000123352:ENSG00000198369:ENSG00000167553
DEG.down	Brain_Substantia_nigra	6818	10	0.454321473995818	1	ENSG00000120071:ENSG00000167548:ENSG00000139636:ENSG00000238083:ENSG00000258839:ENSG00000143995:ENSG00000181929:ENSG00000123352:ENSG00000198369:ENSG00000167553
DEG.down	Breast_Mammary_Tissue	952	3	0.138227651158641	1	ENSG00000139549:ENSG00000078018:ENSG00000135451
DEG.down	Cells_Cultured_fibroblasts	1889	4	0.253248157010308	1	ENSG00000238083:ENSG00000258839:ENSG00000143995:ENSG00000108379
DEG.down	Cells_EBV-transformed_lymphocytes	2200	4	0.350910799337952	1	ENSG00000186665:ENSG00000139636:ENSG00000258839:ENSG00000198369
