GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	50	9	19644	2.206	0.013691	SAMD11
ENSG00000268179	1	861264	866445	16	3	19644	2.3899	0.0084254	AL645608.1
ENSG00000188976	1	879584	894689	48	6	19644	0.27083	0.39326	NOC2L
ENSG00000187961	1	895967	901095	20	3	19644	0.40629	0.34226	KLHL17
ENSG00000187583	1	901877	911245	27	9	19644	1.3442	0.089442	PLEKHN1
ENSG00000187642	1	910579	917497	22	5	19644	1.8629	0.03124	C1orf170
ENSG00000188290	1	934342	935552	4	2	19644	1.2868	0.099086	HES4
ENSG00000187608	1	948803	949920	5	1	19644	2.1591	0.015422	ISG15
ENSG00000188157	1	955503	991496	96	9	19644	1.5098	0.06555	AGRN
ENSG00000237330	1	1006346	1009687	7	2	19644	1.4585	0.072356	RNF223
ENSG00000131591	1	1017198	1051741	114	10	19644	0.64007	0.26106	C1orf159
ENSG00000162571	1	1109264	1133315	145	16	19644	-1.4759	0.93001	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	19644	-2.2542	0.98791	TNFRSF18
ENSG00000186827	1	1146706	1149518	7	2	19644	-1.0535	0.85394	TNFRSF4
ENSG00000078808	1	1152288	1167411	89	4	19644	-1.6996	0.9554	SDF4
ENSG00000176022	1	1167629	1170421	8	2	19644	0.68675	0.24612	B3GALT6
ENSG00000184163	1	1177826	1182102	11	2	19644	-1.1141	0.86738	FAM132A
ENSG00000160087	1	1189289	1209265	53	8	19644	-2.4478	0.99281	UBE2J2
ENSG00000162572	1	1215816	1227409	39	11	19644	-3.2494	0.99942	SCNN1D
ENSG00000131584	1	1227756	1244989	46	7	19644	-0.55432	0.71032	ACAP3
ENSG00000169972	1	1243947	1247057	4	2	19644	-0.57483	0.7173	PUSL1
ENSG00000127054	1	1246965	1260071	16	4	19644	-0.67674	0.75071	CPSF3L
ENSG00000224051	1	1260136	1264277	10	2	19644	-0.94396	0.8274	GLTPD1
ENSG00000169962	1	1266694	1270686	12	4	19644	-0.5748	0.71729	TAS1R3
ENSG00000107404	1	1270656	1284730	37	6	19644	-0.52029	0.69857	DVL1
ENSG00000162576	1	1288069	1297157	24	4	19644	-0.60893	0.72871	MXRA8
ENSG00000175756	1	1309110	1310875	9	3	19644	-0.34432	0.6347	AURKAIP1
ENSG00000221978	1	1321091	1334708	18	5	19644	-0.10327	0.54113	CCNL2
ENSG00000224870	1	1334902	1337426	9	3	19644	0.67029	0.25134	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	14	5	19644	-0.13649	0.55428	MRPL20
ENSG00000235098	1	1353800	1357149	8	2	19644	-0.23299	0.59211	ANKRD65
ENSG00000205116	1	1361508	1363167	6	2	19644	-1.1741	0.87981	TMEM88B
ENSG00000179403	1	1370241	1378262	6	2	19644	-0.10203	0.54063	VWA1
ENSG00000215915	1	1385069	1405538	18	3	19644	-1.8897	0.9706	ATAD3C
ENSG00000160072	1	1407143	1433228	30	3	19644	-0.80978	0.79097	ATAD3B
ENSG00000197785	1	1447531	1470067	62	6	19644	0.38136	0.35147	ATAD3A
ENSG00000205090	1	1470554	1475833	7	2	19644	-0.401	0.65579	TMEM240
ENSG00000160075	1	1477053	1510249	89	8	19644	0.26207	0.39663	SSU72
ENSG00000215014	1	1510355	1511373	5	1	19644	0.23278	0.40797	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	19644	-1.7915	0.9634	C1orf233
ENSG00000197530	1	1550795	1565990	20	4	19644	0.0058143	0.49768	MIB2
ENSG00000248333	1	1570603	1590473	21	3	19644	1.4259	0.076948	CDK11B
ENSG00000189339	1	1592939	1624167	30	6	19644	1.5296	0.063054	SLC35E2B
ENSG00000008128	1	1634169	1655766	36	2	19644	0.38164	0.35136	CDK11A
ENSG00000215790	1	1656277	1677431	8	2	19644	-1.2442	0.89329	SLC35E2
ENSG00000008130	1	1682671	1711896	65	7	19644	-0.78027	0.78238	NADK
ENSG00000078369	1	1716729	1822495	141	14	19644	-0.30755	0.62079	GNB1
ENSG00000169885	1	1846266	1848735	11	3	19644	0.29157	0.38531	CALML6
ENSG00000178821	1	1849029	1850712	5	2	19644	0.67625	0.24944	TMEM52
ENSG00000142609	1	1853396	1935276	271	20	19644	-0.11508	0.54581	C1orf222
ENSG00000187730	1	1950780	1962192	14	2	19644	0.79111	0.21444	GABRD
ENSG00000067606	1	1981909	2116834	387	32	19644	-0.82492	0.79529	PRKCZ
ENSG00000162585	1	2115903	2144159	48	9	19644	-1.0912	0.8624	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	19644	-0.88209	0.81114	AL590822.2
ENSG00000203301	1	2143360	2145620	3	2	19644	1.6444	0.050047	AL590822.1
ENSG00000157933	1	2160134	2241558	201	32	19644	1.4303	0.07632	SKI
ENSG00000116151	1	2252692	2323146	285	40	19644	0.77748	0.21844	MORN1
ENSG00000157916	1	2323267	2336883	34	9	19644	-0.56104	0.71262	RER1
ENSG00000157911	1	2336236	2345236	23	7	19644	-0.37974	0.64793	PEX10
ENSG00000149527	1	2357419	2436969	217	34	19644	1.9303	0.026785	PLCH2
ENSG00000157881	1	2439972	2458039	39	5	19644	1.8228	0.034169	PANK4
ENSG00000197921	1	2460184	2461684	3	2	19644	0.41262	0.33994	HES5
ENSG00000157873	1	2487078	2496821	23	4	19644	0.62093	0.26732	TNFRSF14
ENSG00000157870	1	2517930	2522908	11	4	19644	0.32033	0.37436	FAM213B
ENSG00000142606	1	2522078	2564481	161	9	19644	0.87896	0.18971	MMEL1
ENSG00000215912	1	2567415	2718286	303	22	19644	0.31403	0.37675	TTC34
ENSG00000169717	1	2938046	2939465	3	1	19644	-0.56047	0.71242	ACTRT2
ENSG00000142611	1	2985732	3355185	1157	154	19644	0.11355	0.4548	PRDM16
ENSG00000130762	1	3370990	3397677	85	9	19644	0.43136	0.3331	ARHGEF16
ENSG00000162591	1	3406484	3528059	400	66	19644	1.0254	0.15259	MEGF6
ENSG00000158109	1	3541566	3546691	12	4	19644	0.41535	0.33894	TPRG1L
ENSG00000116213	1	3547331	3569325	47	11	19644	0.33063	0.37046	WRAP73
ENSG00000078900	1	3569084	3652765	261	43	19644	-0.60637	0.72787	TP73
ENSG00000162592	1	3668962	3688209	56	10	19644	0.6822	0.24756	CCDC27
ENSG00000235169	1	3689352	3692546	11	5	19644	-1.1363	0.87208	SMIM1
ENSG00000130764	1	3696784	3713068	74	13	19644	-0.12412	0.54939	LRRC47
ENSG00000116198	1	3728645	3773778	300	20	19644	-0.79351	0.78626	CEP104
ENSG00000169598	1	3773845	3801993	138	16	19644	1.5027	0.066456	DFFB
ENSG00000198912	1	3805689	3816857	43	7	19644	2.7832	0.0026912	C1orf174
ENSG00000196581	1	4714792	4852594	665	90	19644	-1.443	0.9255	AJAP1
ENSG00000131697	1	5922871	6052533	404	26	19644	0.70141	0.24152	NPHP4
ENSG00000069424	1	6051526	6161253	284	48	19644	-0.48325	0.68554	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	19644	-0.44709	0.67259	AL035406.1
ENSG00000116254	1	6161853	6240183	271	33	19644	0.4527	0.32538	CHD5
ENSG00000116251	1	6241329	6269449	64	11	19644	-0.3026	0.6189	RPL22
ENSG00000158286	1	6265535	6281359	37	4	19644	0.55583	0.28916	RNF207
ENSG00000116237	1	6281253	6296032	28	4	19644	0.24459	0.40339	ICMT
ENSG00000173673	1	6304252	6305638	5	2	19644	-1.3179	0.90624	HES3
ENSG00000158292	1	6307406	6321035	32	2	19644	-0.40022	0.6555	GPR153
ENSG00000097021	1	6324329	6454451	395	28	19644	-0.43713	0.66899	ACOT7
ENSG00000069812	1	6472478	6484730	37	6	19644	-0.25736	0.60155	HES2
ENSG00000187017	1	6484848	6521430	105	10	19644	-1.3008	0.90334	ESPN
ENSG00000215788	1	6521211	6526255	10	3	19644	-0.48905	0.6876	TNFRSF25
ENSG00000171680	1	6526152	6580121	125	19	19644	-1.5775	0.94266	PLEKHG5
ENSG00000162408	1	6581407	6614595	110	2	19644	-0.46727	0.67985	NOL9
ENSG00000173662	1	6615241	6639817	38	5	19644	-1.1046	0.86533	TAS1R1
ENSG00000204859	1	6640061	6649340	10	3	19644	-0.60143	0.72622	ZBTB48
ENSG00000162413	1	6650784	6674667	45	10	19644	-1.9332	0.9734	KLHL21
ENSG00000116273	1	6673745	6684093	20	4	19644	-1.7979	0.9639	PHF13
ENSG00000041988	1	6684926	6695646	31	6	19644	-1.1984	0.88462	THAP3
ENSG00000007923	1	6694228	6761984	143	15	19644	-1.0839	0.8608	DNAJC11
ENSG00000171735	1	6845384	7829766	2564	226	19644	-0.27794	0.60947	CAMTA1
ENSG00000049245	1	7831329	7841492	35	9	19644	0.15308	0.43917	VAMP3
ENSG00000049246	1	7844380	7905237	227	26	19644	-1.3963	0.91869	PER3
ENSG00000049247	1	7903143	7913572	39	11	19644	-0.78506	0.78379	UTS2
ENSG00000049249	1	7979907	8000926	42	6	19644	2.2571	0.012001	TNFRSF9
ENSG00000116288	1	8014351	8045565	61	8	19644	1.9267	0.027007	PARK7
ENSG00000116285	1	8064464	8086368	31	6	19644	1.6184	0.052786	ERRFI1
ENSG00000162426	1	8377886	8404227	86	13	19644	-0.041731	0.51664	SLC45A1
ENSG00000142599	1	8412457	8877702	700	29	19644	-0.87196	0.80839	RERE
ENSG00000074800	1	8921061	8939308	25	4	19644	-0.37478	0.64609	ENO1
ENSG00000131686	1	9005926	9035151	111	22	19644	1.4566	0.072614	CA6
ENSG00000197241	1	9063359	9086404	54	14	19644	-0.99326	0.83971	SLC2A7
ENSG00000142583	1	9095166	9148537	173	20	19644	-0.77082	0.77959	SLC2A5
ENSG00000180758	1	9160364	9189229	74	9	19644	-2.7518	0.99704	GPR157
ENSG00000049239	1	9294834	9331396	88	15	19644	-0.013687	0.50546	H6PD
ENSG00000171621	1	9352939	9429591	310	51	19644	-0.061171	0.52439	SPSB1
ENSG00000171612	1	9599541	9645237	50	6	19644	0.52846	0.29859	SLC25A33
ENSG00000188807	1	9648932	9674935	35	5	19644	-0.10618	0.54228	TMEM201
ENSG00000171608	1	9711790	9789172	123	23	19644	0.65349	0.25672	PIK3CD
ENSG00000179840	1	9712668	9714644	4	1	19644	1.2293	0.10948	C1orf200
ENSG00000171603	1	9789084	9884584	122	12	19644	0.39009	0.34823	CLSTN1
ENSG00000178585	1	9908334	9970394	62	10	19644	0.64511	0.25943	CTNNBIP1
ENSG00000162441	1	9982173	10003465	47	8	19644	-0.50735	0.69405	LZIC
ENSG00000173614	1	10003486	10045559	80	11	19644	-0.74437	0.77167	NMNAT1
ENSG00000162444	1	10057264	10076078	38	4	19644	-2.1326	0.98352	RBP7
ENSG00000130939	1	10092890	10241297	306	20	19644	-1.4147	0.92142	UBE4B
ENSG00000054523	1	10270863	10441661	540	18	19644	-0.25963	0.60242	KIF1B
ENSG00000142657	1	10458649	10480201	44	7	19644	-0.30493	0.61979	PGD
ENSG00000251503	1	10490159	10512210	56	7	19644	-1.1791	0.88082	APITD1-CORT
ENSG00000175279	1	10490159	10512210	56	7	19644	-1.1791	0.88082	APITD1
ENSG00000241563	1	10509776	10511959	4	2	19644	-1.5571	0.94027	CORT
ENSG00000160049	1	10516579	10532583	14	3	19644	-1.241	0.89269	DFFA
ENSG00000142655	1	10532345	10690815	359	29	19644	-1.7223	0.95749	PEX14
ENSG00000130940	1	10696661	10856707	376	69	19644	-1.2978	0.90283	CASZ1
ENSG00000175262	1	11006528	11042094	114	14	19644	0.070489	0.4719	C1orf127
ENSG00000120948	1	11072414	11085796	23	3	19644	-1.0982	0.86393	TARDBP
ENSG00000009724	1	11086580	11107290	56	7	19644	-1.5729	0.94213	MASP2
ENSG00000116649	1	11114641	11120081	8	3	19644	-1.1937	0.8837	SRM
ENSG00000171824	1	11126675	11159938	97	5	19644	-1.0019	0.84181	EXOSC10
ENSG00000198793	1	11166592	11322564	329	12	19644	-0.90687	0.81776	MTOR
ENSG00000171819	1	11249398	11256038	15	2	19644	-0.56912	0.71536	ANGPTL7
ENSG00000120942	1	11333263	11356106	33	5	19644	-1.7169	0.957	UBIAD1
ENSG00000204624	1	11539223	11597641	143	14	19644	-0.15689	0.56233	PTCHD2
ENSG00000116661	1	11708424	11715842	10	4	19644	-0.47951	0.68421	FBXO2
ENSG00000132879	1	11714432	11723384	21	6	19644	-2.0205	0.97833	FBXO44
ENSG00000116663	1	11724181	11734411	36	9	19644	-0.55499	0.71055	FBXO6
ENSG00000116670	1	11734537	11751707	55	10	19644	0.4064	0.34223	MAD2L2
ENSG00000162490	1	11751786	11785914	69	14	19644	0.23804	0.40593	DRAXIN
ENSG00000177674	1	11796141	11814859	49	7	19644	-0.80414	0.78934	AGTRAP
ENSG00000215910	1	11821844	11849642	149	10	19644	1.2924	0.098105	C1orf167
ENSG00000177000	1	11845780	11866977	84	11	19644	1.4937	0.067633	MTHFR
ENSG00000011021	1	11866207	11903201	189	13	19644	1.0904	0.13777	CLCN6
ENSG00000175206	1	11905766	11908402	17	4	19644	1.7095	0.043682	NPPA
ENSG00000116685	1	11979648	11986485	20	6	19644	1.4638	0.071619	KIAA2013
ENSG00000083444	1	11994262	12035595	108	10	19644	0.44712	0.32739	PLOD1
ENSG00000116688	1	12040238	12073571	80	7	19644	-0.41779	0.66195	MFN2
ENSG00000116691	1	12079523	12092102	20	4	19644	-0.81972	0.79381	MIIP
ENSG00000120949	1	12123434	12204264	159	26	19644	-1.0113	0.84406	TNFRSF8
ENSG00000028137	1	12227060	12269285	108	11	19644	0.66775	0.25215	TNFRSF1B
ENSG00000048707	1	12290124	12572099	490	28	19644	0.16146	0.43587	VPS13D
ENSG00000162496	1	12627939	12677737	163	28	19644	1.0502	0.14681	DHRS3
ENSG00000204518	1	12704566	12727097	49	4	19644	-0.14981	0.55954	AADACL4
ENSG00000188984	1	12776118	12788726	40	5	19644	-1.603	0.94553	AADACL3
ENSG00000157330	1	12806163	12823847	48	7	19644	-0.61398	0.73039	C1orf158
ENSG00000116726	1	12834984	12838049	7	2	19644	0.51899	0.30189	PRAMEF12
ENSG00000116721	1	12851546	12856777	8	1	19644	1.0275	0.15209	PRAMEF1
ENSG00000179172	1	12907261	12908578	6	2	19644	1.5326	0.062686	HNRNPCL1
ENSG00000120952	1	12916941	12921764	26	5	19644	0.7947	0.2134	PRAMEF2
ENSG00000232423	1	12998181	13117751	2	1	19644	1.1219	0.13096	PRAMEF6
ENSG00000204501	1	13421176	13428191	1	1	19644	1.6271	0.051855	PRAMEF9
ENSG00000204491	1	13474689	13477522	4	1	19644	1.6011	0.054676	PRAMEF18
ENSG00000204488	1	13495254	13498260	1	1	19644	0.76302	0.22273	PRAMEF16
ENSG00000162494	1	13801445	13840543	136	28	19644	0.68503	0.24666	LRRC38
ENSG00000162493	1	13909960	13944452	91	21	19644	0.37167	0.35507	PDPN
ENSG00000116731	1	14026693	14151574	364	32	19644	0.45794	0.3235	PRDM2
ENSG00000189337	1	14925200	15444539	1735	210	19644	-0.88808	0.81275	KAZN
ENSG00000171729	1	15479028	15546976	344	31	19644	0.9517	0.17062	TMEM51
ENSG00000204464	1	15490840	15497813	23	5	19644	-0.90558	0.81742	C1orf195
ENSG00000142621	1	15573768	15726779	436	47	19644	-1.154	0.87576	FHAD1
ENSG00000142634	1	15736391	15756839	55	15	19644	-1.3478	0.91114	EFHD2
ENSG00000162438	1	15764935	15775737	20	6	19644	0.21094	0.41647	CTRC
ENSG00000142615	1	15783223	15798586	59	8	19644	-0.27513	0.60839	CELA2A
ENSG00000215704	1	15792404	15817895	79	11	19644	-0.52917	0.70165	CELA2B
ENSG00000132906	1	15817327	15853029	134	8	19644	-0.75926	0.77615	CASP9
ENSG00000116138	1	15853308	15918874	215	13	19644	-0.15689	0.56234	DNAJC16
ENSG00000116771	1	15898848	15911605	57	6	19644	-0.18335	0.57274	AGMAT
ENSG00000197312	1	15943995	15995539	114	6	19644	-0.29062	0.61433	DDI2
ENSG00000215695	1	15986364	15988217	3	2	19644	-1.2342	0.89143	RSC1A1
ENSG00000116786	1	16010827	16061264	148	12	19644	0.10991	0.45624	PLEKHM2
ENSG00000162461	1	16062900	16067891	4	1	19644	1.5495	0.060634	SLC25A34
ENSG00000162460	1	16068917	16074477	15	4	19644	-0.051532	0.52055	TMEM82
ENSG00000162458	1	16083102	16113089	64	10	19644	-0.44141	0.67054	FBLIM1
ENSG00000065526	1	16174359	16266955	144	17	19644	0.52556	0.2996	SPEN
ENSG00000116809	1	16268364	16302627	52	11	19644	1.0661	0.1432	ZBTB17
ENSG00000183888	1	16330731	16335302	15	5	19644	0.13156	0.44767	C1orf64
ENSG00000173641	1	16340523	16346089	45	5	19644	-0.95891	0.8312	HSPB7
ENSG00000186510	1	16345370	16360545	88	11	19644	0.062219	0.47519	CLCNKA
ENSG00000184908	1	16370272	16383803	125	12	19644	1.1095	0.1336	CLCNKB
