ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000198879	57713	SFMBT2	SFMBT2	615392	Q5VUG0	NA
ENSG00000123243	80760	ITIH5	ITIH5	609783	Q86UX2	NA
ENSG00000100575	26520	TIMM9	TIMM9	607384	Q9Y5J7	NA
ENSG00000165617	51339	DACT1	DACT1	607861	Q9NYF0	NA
ENSG00000100592	23002	DAAM1	DAAM1	606626	Q9Y4D1	NA
ENSG00000172575	10125	RASGRP1	RASGRP1	603962	O95267	NA
ENSG00000137801	7057	THBS1	THBS1	188060	P07996	NA
ENSG00000167523	124045	SPATA33	SPATA33	615409	Q96N06	NA
ENSG00000260259	105371416	RP11-368I7.4	LOC105371416	NA	NA	NA
ENSG00000075399	9605	VPS9D1	VPS9D1	NA	Q9Y2B5	NA
ENSG00000158805	92822	ZNF276	ZNF276	608460	Q8N554	NA
ENSG00000187741	2175	FANCA	FANCA	607139	O15360	NA
ENSG00000204991	84501	SPIRE2	SPIRE2	609217	Q8WWL2	DB08080
ENSG00000141002	22980	TCF25	TCF25	612326	Q9BQ70	NA
ENSG00000258839	4157	MC1R	MC1R	155555	Q01726	DB04931:DB05479:DB11653
ENSG00000198211	10381	TUBB3	TUBB3	602661	Q13509	DB01873:DB03010:DB04845:DB05147:DB06042:DB12695
ENSG00000140995	54849	DEF8	DEF8	NA	Q6ZN54	NA
ENSG00000177946	92806	CENPBD1	CENPBD1	NA	B2RD01	NA
ENSG00000003249	79007	DBNDD1	DBNDD1	NA	Q9H9R9	NA
ENSG00000141013	2622	GAS8	GAS8	605178	O95995	NA
ENSG00000221819	750	C16orf3	GAS8-AS1	605179	O95177	NA
ENSG00000120088	1394	CRHR1	CRHR1	122561	P34998	DB09067
ENSG00000185294	162540	SPPL2C	SPPL2C	608284	Q8IUH8	NA
ENSG00000186868	4137	MAPT	MAPT	157140	P10636	DB00448:DB00637:DB01229:DB01248
ENSG00000256762	246744	STH	STH	607067	Q8IWL8	NA
ENSG00000120071	284058	KANSL1	KANSL1	612452	Q7Z3B3	NA
ENSG00000228696	100506084	ARL17B	ARL17B	NA	Q8IVW1	NA
ENSG00000176681	9884	LRRC37A	LRRC37A	616555	A6NMS7	NA
ENSG00000238083	474170	LRRC37A2	LRRC37A2	616556	A6NM11	NA
ENSG00000185829	51326	ARL17A	ARL17A	NA	Q8IVW1	NA
ENSG00000073969	4905	NSF	NSF	601633	P46459	DB01902
ENSG00000108379	7473	WNT3	WNT3	165330	P56703	NA
ENSG00000186665	284018	C17orf58	C17orf58	NA	Q2M2W7	NA
ENSG00000150556	130576	LYPD6B	LYPD6B	NA	Q8NI32	NA
ENSG00000187123	130574	LYPD6	LYPD6	613359	Q86Y78	NA
ENSG00000186866	23275	POFUT2	POFUT2	610249	Q9Y2G5	NA
ENSG00000182871	80781	COL18A1	COL18A1	120328	P39060	NA
ENSG00000044524	2042	EPHA3	EPHA3	179611	P29320	DB12010
ENSG00000170017	214	ALCAM	ALCAM	601662	Q13740	NA
ENSG00000095981	83795	KCNK16	KCNK16	607369	Q96T55	NA
ENSG00000164627	221458	KIF6	KIF6	613919	Q6ZMV9	NA
ENSG00000119514	79695	GALNT12	GALNT12	610290	Q8IXK2	NA
ENSG00000204291	1306	COL15A1	COL15A1	120325	P39059	NA
