# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 17162
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17162      0.01651     0.032365     0.012519     0.093642
Adrenal_Gland       COVAR   17162    -0.024836     -0.04787     0.009644      0.99499
Bladder             COVAR   17162     0.022674     0.044134     0.015102     0.066646
Blood               COVAR   17162   0.00057329    0.0010273     0.005934      0.46152
Blood_Vessel        COVAR   17162     0.021412     0.043392     0.011067     0.026518
Brain               COVAR   17162    0.0014919    0.0025872    0.0065571      0.41001
Breast              COVAR   17162     0.010773     0.020683     0.014681      0.23154
Cervix_Uteri        COVAR   17162     0.023632     0.046358     0.013641     0.041613
Colon               COVAR   17162  -0.00072449   -0.0013541     0.015033      0.51922
Esophagus           COVAR   17162    0.0074411     0.013996     0.016415      0.32517
Fallopian_Tube      COVAR   17162     0.021244     0.041154     0.013459     0.057247
Heart               COVAR   17162   -0.0010499   -0.0018046    0.0091638       0.5456
Kidney              COVAR   17162     -0.01881    -0.033035    0.0088343      0.98337
Liver               COVAR   17162    -0.014329    -0.025779    0.0062986      0.98854
Lung                COVAR   17162     0.021407      0.04131    0.0099849      0.01603
Muscle              COVAR   17162   -0.0068556    -0.012966    0.0065775      0.85135
Nerve               COVAR   17162    0.0099942     0.020088    0.0098435      0.15499
Ovary               COVAR   17162    0.0098716     0.019987     0.009743      0.15549
Pancreas            COVAR   17162    -0.016216    -0.027085    0.0084233      0.97288
Pituitary           COVAR   17162   -0.0074066    -0.013779    0.0079077      0.82552
Prostate            COVAR   17162    0.0082147     0.015555     0.013215      0.26711
Salivary_Gland      COVAR   17162    -0.011346    -0.021084     0.010209       0.8668
Skin                COVAR   17162   -0.0051782   -0.0098607    0.0097336      0.70263
Small_Intestine     COVAR   17162    0.0077801     0.014282     0.010179      0.22234
Spleen              COVAR   17162     0.011952     0.023649    0.0075265     0.056153
Stomach             COVAR   17162   -0.0066077    -0.011985     0.012911      0.69559
Testis              COVAR   17162   -0.0065434    -0.011289    0.0053942      0.88743
Thyroid             COVAR   17162   0.00095556    0.0018896     0.010395      0.46338
Uterus              COVAR   17162     0.022458     0.045704     0.011503     0.025461
Vagina              COVAR   17162     0.019956       0.0381      0.01228     0.052089
