symbol	ensg	entrez
ACTR10	ENSG00000131966	55860
AGBL5	ENSG00000084693	60509
ARHGAP27	ENSG00000159314	201176
ARL17A	ENSG00000185829	51326
ARL17B	ENSG00000228696	100506084
C16orf3	ENSG00000221819	750
C17orf58	ENSG00000186665	284018
CDK10	ENSG00000185324	8558
CENPBD1	ENSG00000177946	92806
CGREF1	ENSG00000138028	10669
CHMP1A	ENSG00000131165	5119
CMPK1	ENSG00000162368	51727
COL15A1	ENSG00000204291	1306
CPNE7	ENSG00000178773	27132
CRHR1	ENSG00000120088	1394
DAAM1	ENSG00000100592	23002
DACT1	ENSG00000165617	51339
DBNDD1	ENSG00000003249	79007
DEF8	ENSG00000140995	54849
DPYSL5	ENSG00000157851	56896
EMILIN1	ENSG00000138080	11117
EPHA3	ENSG00000044524	2042
FAM175B	ENSG00000165660	23172
FAM53B	ENSG00000189319	9679
FANCA	ENSG00000187741	2175
FMNL1	ENSG00000184922	752
FNDC4	ENSG00000115226	64838
FOXD2	ENSG00000186564	2306
FSHR	ENSG00000170820	2492
GALNT12	ENSG00000119514	79695
GAS8	ENSG00000141013	2622
ITIH5	ENSG00000123243	80760
KANSL1	ENSG00000120071	284058
KCNA5	ENSG00000130037	3741
KHK	ENSG00000138030	3795
L3HYPDH	ENSG00000126790	112849
LHCGR	ENSG00000138039	3973
LHPP	ENSG00000107902	64077
LRRC37A	ENSG00000176681	9884
LRRC37A2	ENSG00000238083	474170
LRRC37A3	ENSG00000176809	374819
MAPRE3	ENSG00000084764	22924
MAPT	ENSG00000186868	4137
MC1R	ENSG00000258839	4157
METTL10	ENSG00000203791	399818
NR2F1	ENSG00000175745	7025
NSF	ENSG00000073969	4905
NTF3	ENSG00000185652	4908
OST4	ENSG00000228474	100128731
PLEKHM1	ENSG00000225190	9842
PREB	ENSG00000138073	10113
RP11-12J10.3	NA	NA
RP11-368I7.4	ENSG00000260259	105371416
RTN1	ENSG00000139970	6252
SFMBT2	ENSG00000198879	57713
SPATA33	ENSG00000167523	124045
SPIRE2	ENSG00000204991	84501
SPPL2C	ENSG00000185294	162540
STH	ENSG00000256762	246744
TCF25	ENSG00000141002	22980
TIMM9	ENSG00000100575	26520
TMEM214	ENSG00000119777	54867
TOMM20L	ENSG00000196860	387990
TRABD2B	ENSG00000269113	388630
TUBB3	ENSG00000198211	10381
VPS9D1	ENSG00000075399	9605
WNT3	ENSG00000108379	7473
ZNF276	ENSG00000158805	92822
