ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000150556	LYPD6B	2	149894621	150071776	1	protein_coding	130576	LYPD6B	0.00103350797846491	-0.240955936	41	19.74	3.80949174428e-08	rs13011264	1
ENSG00000123243	ITIH5	10	7601232	7708961	-1	protein_coding	80760	ITIH5	5.63852864594726e-13	NA	1	25.7	1.13340868808e-14	rs41298373	2
ENSG00000165617	DACT1	14	59100685	59115039	1	protein_coding	51339	DACT1	0.81659755259209	NA	2	6.602	5.5948967681e-10	rs160459;rs311814	3
ENSG00000198211	TUBB3	16	89985573	90002500	1	protein_coding	10381	TUBB3	NA	0.14326531	19	6.68	7.80130071654e-10	rs72477008	5
ENSG00000258947	TUBB3	16	89987800	90005169	1	protein_coding	10381	TUBB3	0.960789307391211	0.14326531	27	7.205	7.80130071654e-10	rs72477008	5
ENSG00000140995	DEF8	16	90014333	90034468	1	protein_coding	54849	DEF8	0.389991487866254	1.457518434	60	10.72	1.12154424636e-10	rs72477008	5
ENSG00000177946	CENPBD1	16	90036206	90038942	-1	protein_coding	92806	CENPBD1	0.0200720946377584	-0.392978384	22	26.7	1.12154424636e-10	rs72477008	5
ENSG00000003249	DBNDD1	16	90071273	90086536	-1	protein_coding	79007	DBNDD1	0.000234996408377196	-0.663797933	29	7.965	2.49302089389e-11	rs72477008	5
ENSG00000141013	GAS8	16	90086037	90111383	1	protein_coding	2622	GAS8	8.03531596883606e-08	1.927189183	31	23.8	2.42657061111e-10	rs72477008	5
ENSG00000221819	C16orf3	16	90095316	90096309	-1	protein_coding	750	C16orf3	0.00279281097473673	0.390816122	10	23.8	8.32942770312e-10	rs72477008	5
ENSG00000126856	PRDM7	16	90122974	90158480	-1	protein_coding	11105	PRDM7	3.13626272886712e-10	0.817071391	40	13.86	2.60485180092e-08	rs72477008	5
ENSG00000186868	MAPT	17	43971748	44105700	1	protein_coding	4137	MAPT	4.68264962282433e-05	2.01024275	7	6.281	6.26344558441e-08	rs12953096	6
ENSG00000256762	STH	17	44076616	44077060	1	protein_coding	246744	STH	0.00444466614164462	0.274193181	2	6.281	2.5266839998e-07	rs12953096	6
ENSG00000120071	KANSL1	17	44107282	44302733	-1	protein_coding	284058	KANSL1	0.999733505943003	0.058945245	40	18.14	4.42727809968e-08	rs12953096	6
ENSG00000228696	ARL17B	17	44352150	44439130	-1	protein_coding	100506084	ARL17B	NA	-0.428243465	1	10.66	6.75892408708e-08	rs12953096	6
ENSG00000176681	LRRC37A	17	44370099	44415160	1	protein_coding	9884	LRRC37A	0.890487355591061	NA	1	10.66	6.75892408708e-08	rs12953096	6
ENSG00000073969	NSF	17	44668035	44834830	1	protein_coding	4905	NSF	0.713682130183303	-0.566246769	3	13.54	3.10174414153e-07	rs12953096	6
ENSG00000108379	WNT3	17	44839872	44910520	-1	protein_coding	7473	WNT3	0.946108101336536	-0.191110949	1	13.54	6.13307347521e-05	rs12953096	6
