#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:25970163	(2015) The Shepherds Tale: A Genome-Wide Study across 9 Dog Breeds Implicates Two Loci in the Regulation of Fructosamine Serum Concentration in Belgian Shepherds.	12	33	2.24	1.09e-16	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000268699,9606.ENSP00000320295,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000374037,9606.ENSP00000393854,9606.ENSP00000415836,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	TCF25,DEF8,GAS8,TUBB3,SPIRE2,FANCA,VPS9D1,CENPBD1,ZNF276,MC1R,DBNDD1,SPATA33
PMID:32829096	(2020) Screening non-MAPT genes of the Chr17q21 H1 haplotype in Parkinsons disease.	8	9	2.63	7.11e-12	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000332488,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247,9606.ENSP00000459551	KANSL1,LRRC37A,SPPL2C,ARL17A,MAPT,CRHR1,ARL17B,LRRC37A2
PMID:27115769	(2016) Gene expression, methylation and neuropathology correlations at progressive supranuclear palsy risk loci.	6	13	2.34	1.70e-06	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247	KANSL1,LRRC37A,ARL17A,MAPT,CRHR1,ARL17B
PMID:27899424	(2017) Genetic architecture of sporadic frontotemporal dementia and overlap with Alzheimers and Parkinsons diseases.	6	21	2.13	1.19e-05	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000459551	WNT3,KANSL1,LRRC37A,MAPT,CRHR1,LRRC37A2
PMID:20465587	(2010) Detection of recombinant haplotypes in wild mice (Mus musculus) provides new insights into the origin of Japanese mice.	5	6	2.6	1.19e-05	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000457625	TCF25,DEF8,SPIRE2,FANCA,DBNDD1
PMID:24649381	(2014) A case of 17q21.31 microduplication and 7q31.33 microdeletion, associated with developmental delay, microcephaly, and mild dysmorphic features.	5	8	2.47	2.21e-05	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,SPPL2C,MAPT,CRHR1,STH
PMID:21992658	(2011) Cerebellum-specific and age-dependent expression of an endogenous retrovirus with intact coding potential.	5	8	2.47	2.21e-05	9606.ENSP00000263346,9606.ENSP00000268699,9606.ENSP00000367494,9606.ENSP00000451605,9606.ENSP00000457625	TCF25,GAS8,SPIRE2,MC1R,DBNDD1
PMID:30136084	(2018) Divergent brain gene expression patterns associate with distinct cell-specific tau neuropathology traits in progressive supranuclear palsy.	6	30	1.98	4.45e-05	9606.ENSP00000262419,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247,9606.ENSP00000459551	KANSL1,ARL17A,MAPT,CRHR1,ARL17B,LRRC37A2
PMID:27498889	(2016) A Highly Polymorphic Copy Number Variant in the NSF Gene is Associated with Cocaine Dependence.	5	12	2.3	7.04e-05	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381293,9606.ENSP00000404247,9606.ENSP00000459551	LRRC37A,MAPT,NSF,ARL17B,LRRC37A2
PMID:29739929	(2018) Genome-wide association study in 176,678 Europeans reveals genetic loci for tanning response to sun exposure.	6	37	1.89	0.00011	9606.ENSP00000268676,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	DEF8,SPIRE2,FANCA,MC1R,DBNDD1,SPATA33
