ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000100592	23002	DAAM1	DAAM1	606626	Q9Y4D1	NA
ENSG00000126790	112849	L3HYPDH	L3HYPDH	614811	Q96EM0	DB00172
ENSG00000139970	6252	RTN1	RTN1	600865	Q16799	NA
ENSG00000137801	7057	THBS1	THBS1	188060	P07996	NA
ENSG00000167523	124045	SPATA33	SPATA33	615409	Q96N06	NA
ENSG00000075399	9605	VPS9D1	VPS9D1	NA	Q9Y2B5	NA
ENSG00000158805	92822	ZNF276	ZNF276	608460	Q8N554	NA
ENSG00000187741	2175	FANCA	FANCA	607139	O15360	NA
ENSG00000204991	84501	SPIRE2	SPIRE2	609217	Q8WWL2	DB08080
ENSG00000141002	22980	TCF25	TCF25	612326	Q9BQ70	NA
ENSG00000258839	4157	MC1R	MC1R	155555	Q01726	DB04931:DB05479:DB11653
ENSG00000198211	10381	TUBB3	TUBB3	602661	Q13509	DB01873:DB03010:DB04845:DB05147:DB06042:DB12695
ENSG00000140995	54849	DEF8	DEF8	NA	Q6ZN54	NA
ENSG00000177946	92806	CENPBD1	CENPBD1	NA	B2RD01	NA
ENSG00000003249	79007	DBNDD1	DBNDD1	NA	Q9H9R9	NA
ENSG00000141013	2622	GAS8	GAS8	605178	O95995	NA
ENSG00000221819	750	C16orf3	GAS8-AS1	605179	O95177	NA
ENSG00000120088	1394	CRHR1	CRHR1	122561	P34998	DB09067
ENSG00000185294	162540	SPPL2C	SPPL2C	608284	Q8IUH8	NA
ENSG00000186868	4137	MAPT	MAPT	157140	P10636	DB00448:DB00637:DB01229:DB01248
ENSG00000256762	246744	STH	STH	607067	Q8IWL8	NA
ENSG00000120071	284058	KANSL1	KANSL1	612452	Q7Z3B3	NA
ENSG00000228696	100506084	ARL17B	ARL17B	NA	Q8IVW1	NA
ENSG00000176681	9884	LRRC37A	LRRC37A	616555	A6NMS7	NA
ENSG00000238083	474170	LRRC37A2	LRRC37A2	616556	A6NM11	NA
ENSG00000185829	51326	ARL17A	ARL17A	NA	Q8IVW1	NA
ENSG00000073969	4905	NSF	NSF	601633	P46459	DB01902
ENSG00000108379	7473	WNT3	WNT3	165330	P56703	NA
ENSG00000186665	284018	C17orf58	C17orf58	NA	Q2M2W7	NA
