symbol	ensg	entrez
ARL17A	ENSG00000185829	51326
ARL17B	ENSG00000228696	100506084
C16orf3	ENSG00000221819	750
C17orf58	ENSG00000186665	284018
CENPBD1	ENSG00000177946	92806
CRHR1	ENSG00000120088	1394
DAAM1	ENSG00000100592	23002
DBNDD1	ENSG00000003249	79007
DEF8	ENSG00000140995	54849
FANCA	ENSG00000187741	2175
GAS8	ENSG00000141013	2622
KANSL1	ENSG00000120071	284058
L3HYPDH	ENSG00000126790	112849
LRRC37A	ENSG00000176681	9884
LRRC37A2	ENSG00000238083	474170
MAPT	ENSG00000186868	4137
MC1R	ENSG00000258839	4157
NSF	ENSG00000073969	4905
rs4924345	NA	NA
rs7023465	NA	NA
rs72813426	NA	NA
rs75267789	NA	NA
rs76341705	NA	NA
RTN1	ENSG00000139970	6252
SPATA33	ENSG00000167523	124045
SPIRE2	ENSG00000204991	84501
SPPL2C	ENSG00000185294	162540
STH	ENSG00000256762	246744
TCF25	ENSG00000141002	22980
THBS1	ENSG00000137801	7057
TUBB3	ENSG00000198211	10381
VPS9D1	ENSG00000075399	9605
WNT3	ENSG00000108379	7473
ZNF276	ENSG00000158805	92822
17:44248848_G_A	NA	NA
