GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000186092	1	19091	120008	30	6	35986	0.39903	0.34494	OR4F5
ENSG00000235249	1	317640	418634	1	1	35986	0.42399	0.33579	OR4F29
ENSG00000185097	1	571059	672053	9	4	35986	0.96815	0.16649	OR4F16
ENSG00000187634	1	810260	929955	391	43	35986	1.03	0.1515	SAMD11
ENSG00000188976	1	829584	944689	426	46	35986	1.0291	0.15172	NOC2L
ENSG00000187961	1	845967	951095	381	39	35986	1.3267	0.092312	KLHL17
ENSG00000187583	1	851877	961245	394	42	35986	1.2182	0.11158	PLEKHN1
ENSG00000187642	1	860579	967497	385	41	35986	1.086	0.13874	C1orf170
ENSG00000188290	1	884342	985552	357	31	35986	1.428	0.076652	HES4
ENSG00000187608	1	898803	999920	344	27	35986	1.5764	0.057472	ISG15
ENSG00000188157	1	905503	1041496	449	35	35986	1.6035	0.054417	AGRN
ENSG00000237330	1	956346	1059687	354	28	35986	1.5439	0.061305	RNF223
ENSG00000131591	1	967198	1101741	498	38	35986	1.1731	0.12038	C1orf159
ENSG00000162571	1	1059264	1183315	589	44	35986	-0.74932	0.77317	TTLL10
ENSG00000186891	1	1088888	1192071	498	38	35986	-1.749	0.95985	TNFRSF18
ENSG00000186827	1	1096706	1199518	476	34	35986	-1.6829	0.95381	TNFRSF4
ENSG00000078808	1	1102288	1217411	520	29	35986	-2.0177	0.97819	SDF4
ENSG00000176022	1	1117629	1220421	453	27	35986	-2.4448	0.99275	B3GALT6
ENSG00000184163	1	1127826	1232102	424	26	35986	-2.0581	0.98021	FAM132A
ENSG00000160087	1	1139289	1259265	438	29	35986	-1.842	0.96726	UBE2J2
ENSG00000162572	1	1165816	1277409	358	28	35986	-1.5427	0.93854	SCNN1D
ENSG00000131584	1	1177756	1294989	359	26	35986	-1.451	0.92661	ACAP3
ENSG00000169972	1	1193947	1297057	304	21	35986	-1.4906	0.93197	PUSL1
ENSG00000127054	1	1196965	1310071	395	24	35986	-1.617	0.94706	CPSF3L
ENSG00000224051	1	1210136	1314277	389	26	35986	-1.6799	0.95351	GLTPD1
ENSG00000169962	1	1216694	1320686	378	23	35986	-1.45	0.92647	TAS1R3
ENSG00000107404	1	1220656	1334730	388	22	35986	-1.3973	0.91884	DVL1
ENSG00000162576	1	1238069	1347157	366	19	35986	-1.6638	0.95192	MXRA8
ENSG00000175756	1	1259110	1360875	378	18	35986	-1.5466	0.93902	AURKAIP1
ENSG00000221978	1	1271091	1384708	400	21	35986	-0.90406	0.81702	CCNL2
ENSG00000224870	1	1284902	1387426	366	20	35986	-0.8023	0.78881	RP4-758J18.2
ENSG00000242485	1	1287288	1392693	386	22	35986	-0.78584	0.78402	MRPL20
ENSG00000235098	1	1303800	1407149	320	22	35986	-0.60567	0.72763	ANKRD65
ENSG00000205116	1	1311508	1413167	283	20	35986	-0.55197	0.70951	TMEM88B
ENSG00000179403	1	1320241	1428262	276	21	35986	-0.59861	0.72528	VWA1
ENSG00000215915	1	1335069	1455538	330	26	35986	-0.090982	0.53625	ATAD3C
ENSG00000160072	1	1357143	1483228	357	29	35986	0.72209	0.23512	ATAD3B
ENSG00000197785	1	1397531	1520067	351	22	35986	0.89224	0.18613	ATAD3A
ENSG00000205090	1	1420554	1525833	342	23	35986	1.0311	0.15124	TMEM240
ENSG00000160075	1	1427053	1560249	420	33	35986	0.78705	0.21563	SSU72
ENSG00000228594	1	1483392	1585476	283	29	35986	0.26172	0.39677	C1orf233
ENSG00000197530	1	1500795	1615990	317	30	35986	-0.054207	0.52161	MIB2
ENSG00000189409	1	1517474	1620639	263	24	35986	-0.38417	0.64957	MMP23B
ENSG00000248333	1	1520603	1640473	315	29	35986	-0.4891	0.68762	CDK11B
ENSG00000189339	1	1542939	1674167	387	33	35986	-0.19838	0.57863	SLC35E2B
ENSG00000008128	1	1584169	1705766	379	26	35986	-0.19011	0.57539	CDK11A
ENSG00000215790	1	1606277	1727431	349	21	35986	-0.21815	0.58634	SLC35E2
ENSG00000008130	1	1632671	1761896	335	19	35986	-0.24848	0.59812	NADK
ENSG00000078369	1	1666729	1872495	434	20	35986	-1.1461	0.87413	GNB1
ENSG00000169885	1	1796266	1898735	306	17	35986	-0.58146	0.71953	CALML6
ENSG00000178821	1	1799029	1900712	327	19	35986	-0.34889	0.63641	TMEM52
ENSG00000142609	1	1803396	1985276	622	47	35986	-0.14488	0.5576	C1orf222
ENSG00000187730	1	1900780	2012192	395	44	35986	0.012687	0.49494	GABRD
ENSG00000067606	1	1931909	2166834	686	49	35986	-1.5466	0.93902	PRKCZ
ENSG00000162585	1	2065903	2194159	310	26	35986	-0.25206	0.5995	C1orf86
ENSG00000157933	1	2110134	2291558	576	64	35986	0.95903	0.16877	SKI
ENSG00000116151	1	2202692	2373146	661	88	35986	0.84189	0.19992	MORN1
ENSG00000157916	1	2273267	2386883	443	66	35986	0.3981	0.34528	RER1
ENSG00000157911	1	2286236	2395236	411	64	35986	0.58032	0.28085	PEX10
ENSG00000149527	1	2307419	2486969	571	78	35986	1.0588	0.14484	PLCH2
ENSG00000157881	1	2389972	2508039	343	40	35986	1.1713	0.12074	PANK4
ENSG00000197921	1	2410184	2511684	279	25	35986	0.88595	0.18782	HES5
ENSG00000157873	1	2437078	2546821	351	22	35986	0.78534	0.21613	TNFRSF14
ENSG00000157870	1	2467930	2572908	343	16	35986	0.7581	0.22419	FAM213B
ENSG00000142606	1	2472078	2614481	381	17	35986	0.88836	0.18717	MMEL1
ENSG00000215912	1	2517415	2768286	745	27	35986	0.74668	0.22763	TTC34
ENSG00000169717	1	2888046	2989465	335	11	35986	-0.28951	0.61391	ACTRT2
ENSG00000142611	1	2935732	3405185	1757	166	35986	-0.10973	0.54369	PRDM16
ENSG00000130762	1	3320990	3447677	507	51	35986	0.013596	0.49458	ARHGEF16
