# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 17162
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17162    -0.019886    -0.038984      0.01251      0.94403
Adrenal_Gland       COVAR   17162   0.00025369   0.00048897    0.0096397       0.4895
Bladder             COVAR   17162   -0.0020192   -0.0039305     0.015093      0.55321
Blood               COVAR   17162   -0.0078399    -0.014048    0.0059293      0.90694
Blood_Vessel        COVAR   17162    0.0056446     0.011439      0.01106      0.30491
Brain               COVAR   17162    0.0027693    0.0048027    0.0065523      0.33628
Breast              COVAR   17162   -0.0046332   -0.0088955      0.01467      0.62393
Cervix_Uteri        COVAR   17162    0.0077819     0.015266     0.013633      0.28406
Colon               COVAR   17162    0.0032412    0.0060579     0.015022      0.41459
Esophagus           COVAR   17162     0.012673     0.023836     0.016403      0.21989
Fallopian_Tube      COVAR   17162    0.0065645     0.012717      0.01345      0.31276
Heart               COVAR   17162    0.0025653    0.0044094    0.0091571      0.38969
Kidney              COVAR   17162    -0.011161    -0.019601     0.008829       0.8969
Liver               COVAR   17162  -0.00050582  -0.00091002    0.0062954      0.53202
Lung                COVAR   17162    -0.012322    -0.023778     0.009979      0.89153
Muscle              COVAR   17162    0.0046878     0.008866    0.0065729      0.23787
Nerve               COVAR   17162   -0.0050623    -0.010175    0.0098367      0.69659
Ovary               COVAR   17162     0.011221      0.02272    0.0097358      0.12456
Pancreas            COVAR   17162   -0.0028904   -0.0048278    0.0084185      0.63433
Pituitary           COVAR   17162     0.020151      0.03749    0.0079001    0.0053812
Prostate            COVAR   17162  -0.00038112  -0.00072167     0.013206      0.51151
Salivary_Gland      COVAR   17162    0.0034975    0.0064994     0.010202      0.36587
Skin                COVAR   17162    -0.015296    -0.029127    0.0097258      0.94209
Small_Intestine     COVAR   17162   -0.0068826    -0.012635     0.010172      0.75068
Spleen              COVAR   17162   -0.0092279    -0.018259    0.0075214      0.89006
Stomach             COVAR   17162     0.014087     0.025551     0.012901      0.13745
Testis              COVAR   17162    0.0089796     0.015493      0.00539     0.047873
Thyroid             COVAR   17162   -0.0081018    -0.016022     0.010387      0.78229
Uterus              COVAR   17162     0.010617     0.021606     0.011497      0.17788
Vagina              COVAR   17162    -0.017925    -0.034223     0.012271      0.92794
