#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:25970163	(2015) The Shepherds Tale: A Genome-Wide Study across 9 Dog Breeds Implicates Two Loci in the Regulation of Fructosamine Serum Concentration in Belgian Shepherds.	13	33	2.77	3.44e-29	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000268699,9606.ENSP00000268720,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000380998,9606.ENSP00000393854,9606.ENSP00000415836,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	TCF25,DEF8,GAS8,CPNE7,CDK10,SPIRE2,FANCA,CHMP1A,CENPBD1,ZNF276,MC1R,DBNDD1,SPATA33
PMID:29739929	(2018) Genome-wide association study in 176,678 Europeans reveals genetic loci for tanning response to sun exposure.	8	37	2.51	8.64e-13	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000380998,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	DEF8,CDK10,SPIRE2,FANCA,CHMP1A,MC1R,DBNDD1,SPATA33
PMID:20465587	(2010) Detection of recombinant haplotypes in wild mice (Mus musculus) provides new insights into the origin of Japanese mice.	5	6	3.1	2.77e-08	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000457625	TCF25,DEF8,SPIRE2,FANCA,DBNDD1
PMID:21992658	(2011) Cerebellum-specific and age-dependent expression of an endogenous retrovirus with intact coding potential.	5	8	2.97	5.79e-08	9606.ENSP00000263346,9606.ENSP00000268699,9606.ENSP00000367494,9606.ENSP00000451605,9606.ENSP00000457625	TCF25,GAS8,SPIRE2,MC1R,DBNDD1
PMID:30323283	(2018) Gene expression imputation identifies candidate genes and susceptibility loci associated with cutaneous squamous cell carcinoma.	6	35	2.41	6.56e-08	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000451605,9606.ENSP00000462996	DEF8,CDK10,SPIRE2,FANCA,MC1R,SPATA33
PMID:35092859	(2022) Genome-wide detection of selective signals for fecundity traits in goats (Capra hircus).	4	9	2.83	4.66e-05	9606.ENSP00000263346,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000415836	TCF25,SPIRE2,FANCA,ZNF276
PMID:35268233	(2022) Assessing Genomic Diversity and Selective Pressures in Bohai Black Cattle Using Whole-Genome Sequencing Data.	4	17	2.55	0.00033	9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000451605	CDK10,SPIRE2,FANCA,MC1R
PMID:31630191	(2020) Functional annotation of melanoma risk loci identifies novel susceptibility genes.	4	18	2.52	0.00036	9606.ENSP00000268676,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	DEF8,MC1R,DBNDD1,SPATA33
PMID:28738163	(2018) A local duplication of the Melanocortin receptor 1 locus in Astyanax.	4	18	2.52	0.00036	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000268699,9606.ENSP00000451605	TCF25,DEF8,GAS8,MC1R
PMID:26829030	(2016) Identification of Susceptibility Loci for Cutaneous Squamous Cell Carcinoma.	4	21	2.46	0.00049	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000462996	DEF8,CDK10,SPIRE2,SPATA33
PMID:27803070	(2016) A GWAS of Cutaneous Squamous Cell Carcinoma-Letter.	3	4	3.05	0.0024	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000451605	DEF8,CDK10,MC1R
PMID:18424418	(2008) [Analysis on molecular evolution of MC1R gene in dog].	3	4	3.05	0.0024	9606.ENSP00000268699,9606.ENSP00000415836,9606.ENSP00000451605	GAS8,ZNF276,MC1R
PMID:25644736	(2015) Addressing population-specific multiple testing burdens in genetic association studies.	3	7	2.81	0.0071	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000457625	DEF8,CDK10,DBNDD1
PMID:29054604	(2018) Susceptibility Loci-Associated Cutaneous Squamous Cell Carcinoma Invasiveness.	3	8	2.75	0.0090	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000451605	DEF8,CDK10,MC1R
PMID:21850219	(2011) Spliceosomal intron insertions in genome compacted ray-finned fishes as evident from phylogeny of MC receptors, also supported by a few other GPCRs.	4	54	2.05	0.0109	9606.ENSP00000263346,9606.ENSP00000373952,9606.ENSP00000451605,9606.ENSP00000457625	TCF25,FANCA,MC1R,DBNDD1
PMID:19578364	(2009) Genome-wide association study identifies three loci associated with melanoma risk.	3	9	2.7	0.0109	9606.ENSP00000338673,9606.ENSP00000373952,9606.ENSP00000451605	CDK10,FANCA,MC1R
PMID:33093844	(2020) Identification of Signatures of Selection by Whole-Genome Resequencing of a Chinese Native Pig.	3	12	2.58	0.0205	9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000451605	SPIRE2,FANCA,MC1R
PMID:30259648	(2018) A prognostic mRNA expression signature of four 16q24.3 genes in radio(chemo)therapy-treated head and neck squamous cell carcinoma (HNSCC).	3	15	2.48	0.0346	9606.ENSP00000373952,9606.ENSP00000380998,9606.ENSP00000393854	FANCA,CHMP1A,CENPBD1
